% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15547775E+03  0.15145234E+03  0.50000000E+00  0.40254116E+01  0.80508231E+01  0.60000000E+08     1
    32    15    22       12        2     0.15174214E+03  0.14773580E+03  0.50000000E+00  0.40063368E+01  0.80126735E+01  0.60000000E+08     1
    32    15    23       12        2     0.14802493E+03  0.14403725E+03  0.50000000E+00  0.39876801E+01  0.79753602E+01  0.60000000E+08     1
    32    15    24       12        2     0.14432567E+03  0.14035619E+03  0.50000000E+00  0.39694810E+01  0.79389620E+01  0.60000000E+08     1
    32    15    25       12        2     0.14064380E+03  0.13669201E+03  0.50000000E+00  0.39517921E+01  0.79035841E+01  0.60000000E+08     1
    32    15    26       12        2     0.13697875E+03  0.13304408E+03  0.50000000E+00  0.39346665E+01  0.78693330E+01  0.60000000E+08     1
    32    15    27       12        2     0.13332983E+03  0.12941170E+03  0.50000000E+00  0.39181342E+01  0.78362684E+01  0.60000000E+08     1
    32    15    28       12        2     0.12969633E+03  0.12579415E+03  0.50000000E+00  0.39021829E+01  0.78043658E+01  0.60000000E+08     1
    32    15    29       12        2     0.12607753E+03  0.12219071E+03  0.50000000E+00  0.38868172E+01  0.77736344E+01  0.60000000E+08     1
    32    15    30       12        2     0.12247267E+03  0.11860055E+03  0.50000000E+00  0.38721176E+01  0.77442352E+01  0.60000000E+08     1
    32    15    31       12        2     0.11888093E+03  0.11502268E+03  0.50000000E+00  0.38582462E+01  0.77164925E+01  0.60000000E+08     1
    32    15    32       12        2     0.11530128E+03  0.11145585E+03  0.50000000E+00  0.38454340E+01  0.76908681E+01  0.60000000E+08     1
    32    15    33       12        2     0.11173250E+03  0.10789855E+03  0.50000000E+00  0.38339440E+01  0.76678880E+01  0.60000000E+08     1
    32    15    34       12        2     0.10817308E+03  0.10434913E+03  0.50000000E+00  0.38239447E+01  0.76478894E+01  0.60000000E+08     1
    32    15    35       12        2     0.10462143E+03  0.10080633E+03  0.50000000E+00  0.38151013E+01  0.76302025E+01  0.60000000E+08     1
    32    15    36       12        2     0.10107639E+03  0.97269028E+02  0.50000000E+00  0.38073579E+01  0.76147158E+01  0.60000000E+08     1
    32    15    37       12        2     0.97537093E+02  0.93735758E+02  0.50000000E+00  0.38013353E+01  0.76026706E+01  0.60000000E+08     1
    32    15    38       12        2     0.94002522E+02  0.90204327E+02  0.50000000E+00  0.37981952E+01  0.75963904E+01  0.60000000E+08     1
    32    15    39       12        2     0.90471329E+02  0.86671385E+02  0.50000000E+00  0.37999438E+01  0.75998876E+01  0.60000000E+08     1
    32    15    40       12        2     0.86941678E+02  0.83131509E+02  0.50000000E+00  0.38101696E+01  0.76203391E+01  0.60000000E+08     1
    32    15    41       12        2     0.83410795E+02  0.79575263E+02  0.50000000E+00  0.38355320E+01  0.76710639E+01  0.60000000E+08     1
    32    15    42       12        2     0.79873856E+02  0.75984904E+02  0.50000000E+00  0.38889517E+01  0.77779035E+01  0.60000000E+08     1
    32    15    43       12        2     0.76321407E+02  0.72324252E+02  0.50000000E+00  0.39971549E+01  0.79943098E+01  0.60000000E+08     1
    32    15    44       12        2     0.72733971E+02  0.68531442E+02  0.50000000E+00  0.42025286E+01  0.84050572E+01  0.60000000E+08     1
    32    15    45       12        2     0.69082287E+02  0.64669560E+02  0.50000000E+00  0.44127264E+01  0.88254529E+01  0.60000000E+08     1
    32    15    46       12        2     0.65309079E+02  0.60810325E+02  0.50000000E+00  0.44987543E+01  0.89975085E+01  0.60000000E+08     1
    32    15    47       12        2     0.61470669E+02  0.56994213E+02  0.50000000E+00  0.44764560E+01  0.89529119E+01  0.60000000E+08     1
    32    15    48       12        2     0.57645782E+02  0.53259247E+02  0.50000000E+00  0.43865345E+01  0.87730691E+01  0.60000000E+08     1
    32    15    49       12        2     0.53887877E+02  0.49667649E+02  0.50000000E+00  0.42202281E+01  0.84404562E+01  0.60000000E+08     1
    32    15    50       12        2     0.50262363E+02  0.46839711E+02  0.50000000E+00  0.34226521E+01  0.68453042E+01  0.60000000E+08     1
    32    15    51        9        2     0.47389427E+02  0.43918630E+02  0.50000000E+00  0.34707973E+01  0.69415947E+01  0.60000000E+08     1
    32    15    52        8        2     0.44362990E+02  0.40376437E+02  0.50000000E+00  0.39865525E+01  0.79731050E+01  0.60000000E+08     1
    32    15    53        8        2     0.40697499E+02  0.36129785E+02  0.50000000E+00  0.45677146E+01  0.91354293E+01  0.60000000E+08     1
    32    15    54        7        2     0.36344974E+02  0.31150589E+02  0.50000000E+00  0.51943845E+01  0.10388769E+02  0.60000000E+08     1
    32    15    55        7        2     0.31270359E+02  0.26234622E+02  0.50000000E+00  0.50357366E+01  0.10071473E+02  0.60000000E+08     1
    32    15    56        7        2     0.26293661E+02  0.21462407E+02  0.50000000E+00  0.48312542E+01  0.96625084E+01  0.60000000E+08     1
    32    15    57        7        2     0.21486126E+02  0.17040457E+02  0.50000000E+00  0.44456688E+01  0.88913375E+01  0.60000000E+08     1
    79    23    31       12        2     0.11608911E+03  0.11190129E+03  0.50000000E+00  0.41878184E+01  0.83756369E+01  0.60000000E+08     1
