% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15423622E+03  0.15145234E+03  0.50000000E+00  0.27838853E+01  0.55677706E+01  0.60000000E+08     1
    32    15    22       12        2     0.15051329E+03  0.14773580E+03  0.50000000E+00  0.27774884E+01  0.55549769E+01  0.60000000E+08     1
    32    15    23       12        2     0.14680964E+03  0.14403725E+03  0.50000000E+00  0.27723835E+01  0.55447669E+01  0.60000000E+08     1
    32    15    24       12        2     0.14312491E+03  0.14035619E+03  0.50000000E+00  0.27687292E+01  0.55374585E+01  0.60000000E+08     1
    32    15    25       12        2     0.13945872E+03  0.13669201E+03  0.50000000E+00  0.27667086E+01  0.55334173E+01  0.60000000E+08     1
    32    15    26       12        2     0.13581060E+03  0.13304408E+03  0.50000000E+00  0.27665156E+01  0.55330312E+01  0.60000000E+08     1
    32    15    27       12        2     0.13218003E+03  0.12941170E+03  0.50000000E+00  0.27683307E+01  0.55366613E+01  0.60000000E+08     1
    32    15    28       12        2     0.12856645E+03  0.12579415E+03  0.50000000E+00  0.27723002E+01  0.55446004E+01  0.60000000E+08     1
    32    15    29       12        2     0.12496930E+03  0.12219071E+03  0.50000000E+00  0.27785944E+01  0.55571889E+01  0.60000000E+08     1
    32    15    30       12        2     0.12138802E+03  0.11860055E+03  0.50000000E+00  0.27874667E+01  0.55749334E+01  0.60000000E+08     1
    32    15    31       12        2     0.11782194E+03  0.11502268E+03  0.50000000E+00  0.27992569E+01  0.55985138E+01  0.60000000E+08     1
    32    15    32       12        2     0.11427022E+03  0.11145585E+03  0.50000000E+00  0.28143748E+01  0.56287495E+01  0.60000000E+08     1
    32    15    33       12        2     0.11073181E+03  0.10789855E+03  0.50000000E+00  0.28332571E+01  0.56665142E+01  0.60000000E+08     1
    32    15    34       12        2     0.10720537E+03  0.10434913E+03  0.50000000E+00  0.28562319E+01  0.57124638E+01  0.60000000E+08     1
    32    15    35       12        2     0.10368942E+03  0.10080633E+03  0.50000000E+00  0.28830943E+01  0.57661886E+01  0.60000000E+08     1
    32    15    36       12        2     0.10018289E+03  0.97269028E+02  0.50000000E+00  0.29138615E+01  0.58277229E+01  0.60000000E+08     1
    32    15    37       12        2     0.96684944E+02  0.93735758E+02  0.50000000E+00  0.29491861E+01  0.58983722E+01  0.60000000E+08     1
    32    15    38       12        2     0.93194528E+02  0.90204327E+02  0.50000000E+00  0.29902017E+01  0.59804035E+01  0.60000000E+08     1
    32    15    39       12        2     0.89710212E+02  0.86671385E+02  0.50000000E+00  0.30388269E+01  0.60776538E+01  0.60000000E+08     1
