% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15591907E+03  0.15145234E+03  0.50000000E+00  0.44667335E+01  0.89334670E+01  0.60000000E+08     1
    32    15    22       12        2     0.15218056E+03  0.14773580E+03  0.50000000E+00  0.44447643E+01  0.88895286E+01  0.60000000E+08     1
    32    15    23       12        2     0.14846068E+03  0.14403725E+03  0.50000000E+00  0.44234263E+01  0.88468527E+01  0.60000000E+08     1
    32    15    24       12        2     0.14475898E+03  0.14035619E+03  0.50000000E+00  0.44027942E+01  0.88055884E+01  0.60000000E+08     1
    32    15    25       12        2     0.14107497E+03  0.13669201E+03  0.50000000E+00  0.43829573E+01  0.87659147E+01  0.60000000E+08     1
    32    15    26       12        2     0.13740809E+03  0.13304408E+03  0.50000000E+00  0.43640066E+01  0.87280132E+01  0.60000000E+08     1
    32    15    27       12        2     0.13375770E+03  0.12941170E+03  0.50000000E+00  0.43460089E+01  0.86920178E+01  0.60000000E+08     1
    32    15    28       12        2     0.13012313E+03  0.12579415E+03  0.50000000E+00  0.43289858E+01  0.86579716E+01  0.60000000E+08     1
    32    15    29       12        2     0.12650368E+03  0.12219071E+03  0.50000000E+00  0.43129702E+01  0.86259403E+01  0.60000000E+08     1
    32    15    30       12        2     0.12289861E+03  0.11860055E+03  0.50000000E+00  0.42980599E+01  0.85961199E+01  0.60000000E+08     1
    32    15    31       12        2     0.11930710E+03  0.11502268E+03  0.50000000E+00  0.42844175E+01  0.85688350E+01  0.60000000E+08     1
    32    15    32       12        2     0.11572810E+03  0.11145585E+03  0.50000000E+00  0.42722470E+01  0.85444939E+01  0.60000000E+08     1
    32    15    33       12        2     0.11216030E+03  0.10789855E+03  0.50000000E+00  0.42617430E+01  0.85234860E+01  0.60000000E+08     1
    32    15    34       12        2     0.10860208E+03  0.10434913E+03  0.50000000E+00  0.42529421E+01  0.85058842E+01  0.60000000E+08     1
    32    15    35       12        2     0.10505161E+03  0.10080633E+03  0.50000000E+00  0.42452797E+01  0.84905593E+01  0.60000000E+08     1
    32    15    36       12        2     0.10150735E+03  0.97269028E+02  0.50000000E+00  0.42383189E+01  0.84766378E+01  0.60000000E+08     1
    32    15    37       12        2     0.97967813E+02  0.93735758E+02  0.50000000E+00  0.42320555E+01  0.84641110E+01  0.60000000E+08     1
    32    15    38       12        2     0.94430993E+02  0.90204327E+02  0.50000000E+00  0.42266665E+01  0.84533330E+01  0.60000000E+08     1
    32    15    39       12        2     0.90894031E+02  0.86671385E+02  0.50000000E+00  0.42226457E+01  0.84452915E+01  0.60000000E+08     1
    32    15    40       12        2     0.87352834E+02  0.83131509E+02  0.50000000E+00  0.42213253E+01  0.84426506E+01  0.60000000E+08     1
    32    15    41       12        2     0.83801367E+02  0.79575263E+02  0.50000000E+00  0.42261037E+01  0.84522074E+01  0.60000000E+08     1
    32    15    42       12        2     0.80230179E+02  0.75984904E+02  0.50000000E+00  0.42452755E+01  0.84905510E+01  0.60000000E+08     1
    32    15    43       12        2     0.76622843E+02  0.72324252E+02  0.50000000E+00  0.42985908E+01  0.85971815E+01  0.60000000E+08     1
    32    15    44       12        2     0.72946263E+02  0.68531442E+02  0.50000000E+00  0.44148207E+01  0.88296414E+01  0.60000000E+08     1
    32    15    45       12        2     0.69140518E+02  0.64669560E+02  0.50000000E+00  0.44709581E+01  0.89419162E+01  0.60000000E+08     1
    32    15    46       12        2     0.65267039E+02  0.60810325E+02  0.50000000E+00  0.44567144E+01  0.89134288E+01  0.60000000E+08     1
    32    15    47       12        2     0.61396797E+02  0.56994213E+02  0.50000000E+00  0.44025844E+01  0.88051687E+01  0.60000000E+08     1
    32    15    48       12        2     0.57568452E+02  0.53259247E+02  0.50000000E+00  0.43092052E+01  0.86184105E+01  0.60000000E+08     1
    32    15    49       12        2     0.53816819E+02  0.49667649E+02  0.50000000E+00  0.41491699E+01  0.82983398E+01  0.60000000E+08     1
    32    15    50       12        2     0.50197767E+02  0.46839711E+02  0.50000000E+00  0.33580557E+01  0.67161113E+01  0.60000000E+08     1
    32    15    51        9        2     0.47331480E+02  0.43918630E+02  0.50000000E+00  0.34128504E+01  0.68257009E+01  0.60000000E+08     1
    32    15    52        8        2     0.44312670E+02  0.40376437E+02  0.50000000E+00  0.39362323E+01  0.78724647E+01  0.60000000E+08     1
    32    15    53        8        2     0.40656181E+02  0.36129785E+02  0.50000000E+00  0.45263965E+01  0.90527930E+01  0.60000000E+08     1
    32    15    54        7        2     0.36312603E+02  0.31150589E+02  0.50000000E+00  0.51620134E+01  0.10324027E+02  0.60000000E+08     1
    32    15    55        7        2     0.31247146E+02  0.26234622E+02  0.50000000E+00  0.50125237E+01  0.10025047E+02  0.60000000E+08     1
    32    15    56        7        2     0.26278446E+02  0.21462407E+02  0.50000000E+00  0.48160389E+01  0.96320778E+01  0.60000000E+08     1
    32    15    57        7        2     0.21477868E+02  0.17040457E+02  0.50000000E+00  0.44374111E+01  0.88748223E+01  0.60000000E+08     1
    79    23    31       12        2     0.11624898E+03  0.11190129E+03  0.50000000E+00  0.43476891E+01  0.86953782E+01  0.60000000E+08     1
    79    23    32       12        2     0.11263419E+03  0.10831165E+03  0.50000000E+00  0.43225414E+01  0.86450827E+01  0.60000000E+08     1
    79    23    33       12        2     0.10903644E+03  0.10473877E+03  0.50000000E+00  0.42976661E+01  0.85953322E+01  0.60000000E+08     1
    79    23    34       12        2     0.10545538E+03  0.10118208E+03  0.50000000E+00  0.42733017E+01  0.85466035E+01  0.60000000E+08     1
    79    23    35       12        2     0.10189053E+03  0.97640698E+02  0.50000000E+00  0.42498285E+01  0.84996569E+01  0.60000000E+08     1
    79    23    36       12        2     0.98341101E+02  0.94113242E+02  0.50000000E+00  0.42278598E+01  0.84557197E+01  0.60000000E+08     1
    79    23    37       12        2     0.94805900E+02  0.90597498E+02  0.50000000E+00  0.42084013E+01  0.84168027E+01  0.60000000E+08     1
    79    23    38       12        2     0.91282913E+02  0.87089785E+02  0.50000000E+00  0.41931283E+01  0.83862567E+01  0.60000000E+08     1
    79    23    39       12        2     0.87768650E+02  0.83583770E+02  0.50000000E+00  0.41848795E+01  0.83697591E+01  0.60000000E+08     1
    79    23    40       12        2     0.84256778E+02  0.80068237E+02  0.50000000E+00  0.41885405E+01  0.83770810E+01  0.60000000E+08     1
    79    23    41       12        2     0.80735381E+02  0.76522745E+02  0.50000000E+00  0.42126361E+01  0.84252722E+01  0.60000000E+08     1
    79    23    42       12        2     0.77181344E+02  0.72909137E+02  0.50000000E+00  0.42722074E+01  0.85444148E+01  0.60000000E+08     1
    79    23    43       12        2     0.73548730E+02  0.68506751E+02  0.50000000E+00  0.50419787E+01  0.10083957E+02  0.60000000E+08     1
    79    23    44        6        2     0.69088526E+02  0.64742587E+02  0.50000000E+00  0.43459384E+01  0.86918767E+01  0.60000000E+08     1
    79    23    45        9        2     0.65203099E+02  0.61703930E+02  0.50000000E+00  0.34991689E+01  0.69983379E+01  0.60000000E+08     1
    79    23    46        8        2     0.62004832E+02  0.57964762E+02  0.50000000E+00  0.40400700E+01  0.80801400E+01  0.60000000E+08     1
    79    23    47        8        2     0.58108938E+02  0.53428196E+02  0.50000000E+00  0.46807421E+01  0.93614841E+01  0.60000000E+08     1
    79    23    48        7        2     0.53500251E+02  0.48175945E+02  0.50000000E+00  0.53243060E+01  0.10648612E+02  0.60000000E+08     1
    79    23    49        7        2     0.48206438E+02  0.42972006E+02  0.50000000E+00  0.52344312E+01  0.10468862E+02  0.60000000E+08     1
    79    23    50        7        2     0.42979004E+02  0.37780273E+02  0.50000000E+00  0.51987306E+01  0.10397461E+02  0.60000000E+08     1
    79    23    51        7        2     0.37777052E+02  0.32571487E+02  0.50000000E+00  0.52055656E+01  0.10411131E+02  0.60000000E+08     1
    79    23    52        7        2     0.32580853E+02  0.27557691E+02  0.50000000E+00  0.50231623E+01  0.10046325E+02  0.60000000E+08     1
    79    23    53        6        2     0.27579730E+02  0.22740615E+02  0.50000000E+00  0.48391152E+01  0.96782304E+01  0.60000000E+08     1
    79    23    54        6        2     0.22758532E+02  0.17889341E+02  0.50000000E+00  0.48691913E+01  0.97383826E+01  0.60000000E+08     1
    54    35    18       12        2     0.16858274E+03  0.16379233E+03  0.50000000E+00  0.47904080E+01  0.95808160E+01  0.60000000E+08     1
    54    35    19       12        2     0.16480655E+03  0.16005174E+03  0.50000000E+00  0.47548161E+01  0.95096322E+01  0.60000000E+08     1
    54    35    20       12        2     0.16105778E+03  0.15630407E+03  0.50000000E+00  0.47537118E+01  0.95074237E+01  0.60000000E+08     1
    54    35    21       11        2     0.15730521E+03  0.15255215E+03  0.50000000E+00  0.47530685E+01  0.95061370E+01  0.60000000E+08     1
    54    35    22       11        2     0.15354923E+03  0.14882833E+03  0.50000000E+00  0.47208955E+01  0.94417910E+01  0.60000000E+08     1
    54    35    23       11        2     0.14982175E+03  0.14512802E+03  0.50000000E+00  0.46937303E+01  0.93874606E+01  0.60000000E+08     1
    54    35    24       11        2     0.14611843E+03  0.14145250E+03  0.50000000E+00  0.46659303E+01  0.93318606E+01  0.60000000E+08     1
    54    35    25       11        2     0.14244075E+03  0.13780218E+03  0.50000000E+00  0.46385689E+01  0.92771378E+01  0.60000000E+08     1
    54    35    26       11        2     0.13878949E+03  0.13417776E+03  0.50000000E+00  0.46117318E+01  0.92234635E+01  0.60000000E+08     1
    54    35    27       11        2     0.13516522E+03  0.13058006E+03  0.50000000E+00  0.45851641E+01  0.91703282E+01  0.60000000E+08     1
    54    35    28       11        2     0.13156852E+03  0.12701003E+03  0.50000000E+00  0.45584921E+01  0.91169843E+01  0.60000000E+08     1
    54    35    29       11        2     0.12800003E+03  0.12346885E+03  0.50000000E+00  0.45311758E+01  0.90623515E+01  0.60000000E+08     1
    54    35    30       11        2     0.12446035E+03  0.11995803E+03  0.50000000E+00  0.45023236E+01  0.90046471E+01  0.60000000E+08     1
    54    35    31       11        2     0.12094992E+03  0.11647959E+03  0.50000000E+00  0.44703371E+01  0.89406743E+01  0.60000000E+08     1
    54    35    32       11        2     0.11746852E+03  0.11303626E+03  0.50000000E+00  0.44322602E+01  0.88645204E+01  0.60000000E+08     1
    54    35    33       11        2     0.11401426E+03  0.10963170E+03  0.50000000E+00  0.43825685E+01  0.87651370E+01  0.60000000E+08     1
    54    35    34       11        2     0.11058132E+03  0.10627044E+03  0.50000000E+00  0.43108810E+01  0.86217621E+01  0.60000000E+08     1
    54    35    35       11        2     0.10715462E+03  0.10295704E+03  0.50000000E+00  0.41975821E+01  0.83951642E+01  0.60000000E+08     1
    54    35    36       11        2     0.10369823E+03  0.98804323E+02  0.50000000E+00  0.48939092E+01  0.97878184E+01  0.60000000E+08     1
    54    35    37       10        2     0.99398180E+02  0.93801123E+02  0.50000000E+00  0.55970572E+01  0.11194114E+02  0.60000000E+08     1
    54    35    38       10        2     0.94305347E+02  0.88818554E+02  0.50000000E+00  0.54867930E+01  0.10973586E+02  0.60000000E+08     1
    54    35    39       10        2     0.89274184E+02  0.83852054E+02  0.50000000E+00  0.54221297E+01  0.10844259E+02  0.60000000E+08     1
    54    35    40       10        2     0.84278882E+02  0.78904814E+02  0.50000000E+00  0.53740684E+01  0.10748137E+02  0.60000000E+08     1
    54    35    41       10        2     0.79312019E+02  0.73984686E+02  0.50000000E+00  0.53273334E+01  0.10654667E+02  0.60000000E+08     1
    54    35    42       10        2     0.74375695E+02  0.69104925E+02  0.50000000E+00  0.52707700E+01  0.10541540E+02  0.60000000E+08     1
    54    35    43       10        2     0.69479897E+02  0.64288775E+02  0.50000000E+00  0.51911220E+01  0.10382244E+02  0.60000000E+08     1
    54    35    44       10        2     0.64646050E+02  0.59580391E+02  0.50000000E+00  0.50656587E+01  0.10131317E+02  0.60000000E+08     1
    54    35    45       10        2     0.59917448E+02  0.55068754E+02  0.50000000E+00  0.48486949E+01  0.96973898E+01  0.60000000E+08     1
    54    35    46       10        2     0.55383048E+02  0.51962377E+02  0.50000000E+00  0.34206712E+01  0.68413425E+01  0.60000000E+08     1
    54    35    47        9        2     0.52257208E+02  0.50067965E+02  0.50000000E+00  0.21892427E+01  0.43784853E+01  0.60000000E+08     1
    54    35    48        9        2     0.50347219E+02  0.47497134E+02  0.50000000E+00  0.28500850E+01  0.57001701E+01  0.60000000E+08     1
    54    35    49        8        2     0.47752629E+02  0.44277886E+02  0.50000000E+00  0.34747429E+01  0.69494859E+01  0.60000000E+08     1
    54    35    50        8        2     0.44503392E+02  0.40344676E+02  0.50000000E+00  0.41587167E+01  0.83174335E+01  0.60000000E+08     1
    54    35    51        7        2     0.40535720E+02  0.35710074E+02  0.50000000E+00  0.48256459E+01  0.96512919E+01  0.60000000E+08     1
    54    35    52        7        2     0.35861280E+02  0.31108668E+02  0.50000000E+00  0.47526127E+01  0.95052255E+01  0.60000000E+08     1
    54    35    53        7        2     0.31219932E+02  0.26543506E+02  0.50000000E+00  0.46764254E+01  0.93528509E+01  0.60000000E+08     1
    54    35    54        7        2     0.26617180E+02  0.22014892E+02  0.50000000E+00  0.46022876E+01  0.92045752E+01  0.60000000E+08     1
    54    35    55        7        2     0.22055698E+02  0.17520305E+02  0.50000000E+00  0.45353930E+01  0.90707859E+01  0.60000000E+08     1
    50    45    27       11        2     0.13729225E+03  0.13259854E+03  0.50000000E+00  0.46937064E+01  0.93874128E+01  0.60000000E+08     1
    50    45    28       11        2     0.13377140E+03  0.12910242E+03  0.50000000E+00  0.46689769E+01  0.93379538E+01  0.60000000E+08     1
    50    45    29       11        2     0.13027963E+03  0.12563626E+03  0.50000000E+00  0.46433672E+01  0.92867344E+01  0.60000000E+08     1
    50    45    30       11        2     0.12681715E+03  0.12220110E+03  0.50000000E+00  0.46160470E+01  0.92320940E+01  0.60000000E+08     1
    50    45    31       11        2     0.12338414E+03  0.11879860E+03  0.50000000E+00  0.45855381E+01  0.91710763E+01  0.60000000E+08     1
    50    45    32       11        2     0.11998079E+03  0.11543170E+03  0.50000000E+00  0.45490935E+01  0.90981871E+01  0.60000000E+08     1
    50    45    33       11        2     0.11660731E+03  0.11210601E+03  0.50000000E+00  0.45013039E+01  0.90026077E+01  0.60000000E+08     1
    50    45    34       11        2     0.11326415E+03  0.10883341E+03  0.50000000E+00  0.44307372E+01  0.88614743E+01  0.60000000E+08     1
    50    45    35       11        2     0.10995238E+03  0.10564108E+03  0.50000000E+00  0.43112978E+01  0.86225955E+01  0.60000000E+08     1
    50    45    36       11        2     0.10667442E+03  0.10177092E+03  0.50000000E+00  0.49034949E+01  0.98069899E+01  0.60000000E+08     1
    50    45    37       10        2     0.10255806E+03  0.97079256E+02  0.50000000E+00  0.54788016E+01  0.10957603E+02  0.60000000E+08     1
    50    45    38       10        2     0.97603122E+02  0.92265274E+02  0.50000000E+00  0.53378480E+01  0.10675696E+02  0.60000000E+08     1
    50    45    39       10        2     0.92679930E+02  0.87417734E+02  0.50000000E+00  0.52621961E+01  0.10524392E+02  0.60000000E+08     1
    50    45    40       10        2     0.87784075E+02  0.82571674E+02  0.50000000E+00  0.52124012E+01  0.10424802E+02  0.60000000E+08     1
    50    45    41       10        2     0.82914529E+02  0.77742553E+02  0.50000000E+00  0.51719763E+01  0.10343953E+02  0.60000000E+08     1
    50    45    42       10        2     0.78071975E+02  0.72938417E+02  0.50000000E+00  0.51335581E+01  0.10267116E+02  0.60000000E+08     1
    50    45    43       10        2     0.73257512E+02  0.68163863E+02  0.50000000E+00  0.50936489E+01  0.10187298E+02  0.60000000E+08     1
    50    45    44       10        2     0.68471452E+02  0.63420688E+02  0.50000000E+00  0.50507643E+01  0.10101529E+02  0.60000000E+08     1
    50    45    45       10        2     0.63711902E+02  0.58707157E+02  0.50000000E+00  0.50047444E+01  0.10009489E+02  0.60000000E+08     1
    50    45    46       10        2     0.58973207E+02  0.55386813E+02  0.50000000E+00  0.35863944E+01  0.71727888E+01  0.60000000E+08     1
    50    45    47        9        2     0.55625722E+02  0.53448281E+02  0.50000000E+00  0.21774408E+01  0.43548816E+01  0.60000000E+08     1
    50    45    48        9        2     0.53656868E+02  0.50878415E+02  0.50000000E+00  0.27784528E+01  0.55569055E+01  0.60000000E+08     1
