% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15551052E+03  0.15145234E+03  0.50000000E+00  0.40581818E+01  0.81163635E+01  0.60000000E+08     1
    32    15    22       12        2     0.15177490E+03  0.14773580E+03  0.50000000E+00  0.40391007E+01  0.80782013E+01  0.60000000E+08     1
    32    15    23       12        2     0.14805774E+03  0.14403725E+03  0.50000000E+00  0.40204887E+01  0.80409773E+01  0.60000000E+08     1
    32    15    24       12        2     0.14435858E+03  0.14035619E+03  0.50000000E+00  0.40023905E+01  0.80047810E+01  0.60000000E+08     1
    32    15    25       12        2     0.14067688E+03  0.13669201E+03  0.50000000E+00  0.39848643E+01  0.79697286E+01  0.60000000E+08     1
    32    15    26       12        2     0.13701205E+03  0.13304408E+03  0.50000000E+00  0.39679689E+01  0.79359378E+01  0.60000000E+08     1
    32    15    27       12        2     0.13336344E+03  0.12941170E+03  0.50000000E+00  0.39517402E+01  0.79034805E+01  0.60000000E+08     1
    32    15    28       12        2     0.12973032E+03  0.12579415E+03  0.50000000E+00  0.39361722E+01  0.78723445E+01  0.60000000E+08     1
    32    15    29       12        2     0.12611198E+03  0.12219071E+03  0.50000000E+00  0.39212762E+01  0.78425523E+01  0.60000000E+08     1
    32    15    30       12        2     0.12250769E+03  0.11860055E+03  0.50000000E+00  0.39071393E+01  0.78142787E+01  0.60000000E+08     1
    32    15    31       12        2     0.11891661E+03  0.11502268E+03  0.50000000E+00  0.38939302E+01  0.77878604E+01  0.60000000E+08     1
    32    15    32       12        2     0.11533773E+03  0.11145585E+03  0.50000000E+00  0.38818838E+01  0.77637676E+01  0.60000000E+08     1
    32    15    33       12        2     0.11176981E+03  0.10789855E+03  0.50000000E+00  0.38712623E+01  0.77425246E+01  0.60000000E+08     1
    32    15    34       12        2     0.10821136E+03  0.10434913E+03  0.50000000E+00  0.38622229E+01  0.77244457E+01  0.60000000E+08     1
    32    15    35       12        2     0.10466073E+03  0.10080633E+03  0.50000000E+00  0.38543989E+01  0.77087978E+01  0.60000000E+08     1
    32    15    36       12        2     0.10111669E+03  0.97269028E+02  0.50000000E+00  0.38476663E+01  0.76953325E+01  0.60000000E+08     1
    32    15    37       12        2     0.97578270E+02  0.93735758E+02  0.50000000E+00  0.38425128E+01  0.76850256E+01  0.60000000E+08     1
    32    15    38       12        2     0.94044191E+02  0.90204327E+02  0.50000000E+00  0.38398648E+01  0.76797295E+01  0.60000000E+08     1
    32    15    39       12        2     0.90512723E+02  0.86671385E+02  0.50000000E+00  0.38413380E+01  0.76826760E+01  0.60000000E+08     1
    32    15    40       12        2     0.86981436E+02  0.83131509E+02  0.50000000E+00  0.38499273E+01  0.76998546E+01  0.60000000E+08     1
    32    15    41       12        2     0.83446765E+02  0.79575263E+02  0.50000000E+00  0.38715017E+01  0.77430034E+01  0.60000000E+08     1
    32    15    42       12        2     0.79903098E+02  0.75984904E+02  0.50000000E+00  0.39181943E+01  0.78363886E+01  0.60000000E+08     1
    32    15    43       12        2     0.76340833E+02  0.72324252E+02  0.50000000E+00  0.40165807E+01  0.80331614E+01  0.60000000E+08     1
    32    15    44       12        2     0.72742111E+02  0.68531442E+02  0.50000000E+00  0.42106694E+01  0.84213389E+01  0.60000000E+08     1
    32    15    45       12        2     0.69080712E+02  0.64669560E+02  0.50000000E+00  0.44111518E+01  0.88223035E+01  0.60000000E+08     1
    32    15    46       12        2     0.65301133E+02  0.60810325E+02  0.50000000E+00  0.44908082E+01  0.89816163E+01  0.60000000E+08     1
    32    15    47       12        2     0.61458920E+02  0.56994213E+02  0.50000000E+00  0.44647073E+01  0.89294145E+01  0.60000000E+08     1
