% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15576788E+03  0.15145234E+03  0.50000000E+00  0.43155436E+01  0.86310871E+01  0.60000000E+08     1
    32    15    22       12        2     0.15203007E+03  0.14773580E+03  0.50000000E+00  0.42942711E+01  0.85885421E+01  0.60000000E+08     1
    32    15    23       12        2     0.14831065E+03  0.14403725E+03  0.50000000E+00  0.42733957E+01  0.85467913E+01  0.60000000E+08     1
    32    15    24       12        2     0.14460914E+03  0.14035619E+03  0.50000000E+00  0.42529544E+01  0.85059088E+01  0.60000000E+08     1
    32    15    25       12        2     0.14092501E+03  0.13669201E+03  0.50000000E+00  0.42329973E+01  0.84659947E+01  0.60000000E+08     1
    32    15    26       12        2     0.13725766E+03  0.13304408E+03  0.50000000E+00  0.42135753E+01  0.84271507E+01  0.60000000E+08     1
    32    15    27       12        2     0.13360641E+03  0.12941170E+03  0.50000000E+00  0.41947164E+01  0.83894327E+01  0.60000000E+08     1
    32    15    28       12        2     0.12997055E+03  0.12579415E+03  0.50000000E+00  0.41764065E+01  0.83528130E+01  0.60000000E+08     1
    32    15    29       12        2     0.12634936E+03  0.12219071E+03  0.50000000E+00  0.41586496E+01  0.83172992E+01  0.60000000E+08     1
    32    15    30       12        2     0.12274208E+03  0.11860055E+03  0.50000000E+00  0.41415260E+01  0.82830521E+01  0.60000000E+08     1
    32    15    31       12        2     0.11914788E+03  0.11502268E+03  0.50000000E+00  0.41251983E+01  0.82503966E+01  0.60000000E+08     1
    32    15    32       12        2     0.11556575E+03  0.11145585E+03  0.50000000E+00  0.41098970E+01  0.82197939E+01  0.60000000E+08     1
    32    15    33       12        2     0.11199443E+03  0.10789855E+03  0.50000000E+00  0.40958818E+01  0.81917635E+01  0.60000000E+08     1
    32    15    34       12        2     0.10843244E+03  0.10434913E+03  0.50000000E+00  0.40833090E+01  0.81666179E+01  0.60000000E+08     1
    32    15    35       12        2     0.10487814E+03  0.10080633E+03  0.50000000E+00  0.40718100E+01  0.81436200E+01  0.60000000E+08     1
    32    15    36       12        2     0.10133028E+03  0.97269028E+02  0.50000000E+00  0.40612484E+01  0.81224967E+01  0.60000000E+08     1
    32    15    37       12        2     0.97787819E+02  0.93735758E+02  0.50000000E+00  0.40520610E+01  0.81041219E+01  0.60000000E+08     1
    32    15    38       12        2     0.94249358E+02  0.90204327E+02  0.50000000E+00  0.40450312E+01  0.80900624E+01  0.60000000E+08     1
    32    15    39       12        2     0.90712816E+02  0.86671385E+02  0.50000000E+00  0.40414302E+01  0.80828604E+01  0.60000000E+08     1
    32    15    40       12        2     0.87175009E+02  0.83131509E+02  0.50000000E+00  0.40434998E+01  0.80869996E+01  0.60000000E+08     1
    32    15    41       12        2     0.83630865E+02  0.79575263E+02  0.50000000E+00  0.40556017E+01  0.81112034E+01  0.60000000E+08     1
    32    15    42       12        2     0.80072051E+02  0.75984904E+02  0.50000000E+00  0.40871468E+01  0.81742937E+01  0.60000000E+08     1
    32    15    43       12        2     0.76484810E+02  0.72324252E+02  0.50000000E+00  0.41605580E+01  0.83211161E+01  0.60000000E+08     1
    32    15    44       12        2     0.72847414E+02  0.68531442E+02  0.50000000E+00  0.43159717E+01  0.86319434E+01  0.60000000E+08     1
    32    15    45       12        2     0.69140313E+02  0.64669560E+02  0.50000000E+00  0.44707531E+01  0.89415063E+01  0.60000000E+08     1
    32    15    46       12        2     0.65326220E+02  0.60810325E+02  0.50000000E+00  0.45158953E+01  0.90317907E+01  0.60000000E+08     1
    32    15    47       12        2     0.61464906E+02  0.56994213E+02  0.50000000E+00  0.44706934E+01  0.89413868E+01  0.60000000E+08     1
    32    15    48       12        2     0.57629737E+02  0.53259247E+02  0.50000000E+00  0.43704900E+01  0.87409800E+01  0.60000000E+08     1
    32    15    49       12        2     0.53868048E+02  0.49667649E+02  0.50000000E+00  0.42003988E+01  0.84007976E+01  0.60000000E+08     1
    32    15    50       12        2     0.50240742E+02  0.46839711E+02  0.50000000E+00  0.34010314E+01  0.68020628E+01  0.60000000E+08     1
    32    15    51        9        2     0.47368296E+02  0.43918630E+02  0.50000000E+00  0.34496659E+01  0.68993318E+01  0.60000000E+08     1
