% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15656985E+03  0.15145234E+03  0.50000000E+00  0.51175124E+01  0.10235025E+02  0.60000000E+08     1
    32    15    22       12        2     0.15282421E+03  0.14773580E+03  0.50000000E+00  0.50884062E+01  0.10176812E+02  0.60000000E+08     1
    32    15    23       12        2     0.14909657E+03  0.14403725E+03  0.50000000E+00  0.50593182E+01  0.10118636E+02  0.60000000E+08     1
    32    15    24       12        2     0.14538642E+03  0.14035619E+03  0.50000000E+00  0.50302370E+01  0.10060474E+02  0.60000000E+08     1
    32    15    25       12        2     0.14169317E+03  0.13669201E+03  0.50000000E+00  0.50011582E+01  0.10002316E+02  0.60000000E+08     1
    32    15    26       12        2     0.13801615E+03  0.13304408E+03  0.50000000E+00  0.49720717E+01  0.99441433E+01  0.60000000E+08     1
    32    15    27       12        2     0.13435463E+03  0.12941170E+03  0.50000000E+00  0.49429364E+01  0.98858728E+01  0.60000000E+08     1
    32    15    28       12        2     0.13070781E+03  0.12579415E+03  0.50000000E+00  0.49136612E+01  0.98273224E+01  0.60000000E+08     1
    32    15    29       12        2     0.12707487E+03  0.12219071E+03  0.50000000E+00  0.48841619E+01  0.97683238E+01  0.60000000E+08     1
    32    15    30       12        2     0.12345497E+03  0.11860055E+03  0.50000000E+00  0.48544161E+01  0.97088322E+01  0.60000000E+08     1
    32    15    31       12        2     0.11984715E+03  0.11502268E+03  0.50000000E+00  0.48244639E+01  0.96489279E+01  0.60000000E+08     1
    32    15    32       12        2     0.11625024E+03  0.11145585E+03  0.50000000E+00  0.47943882E+01  0.95887765E+01  0.60000000E+08     1
    32    15    33       12        2     0.11266282E+03  0.10789855E+03  0.50000000E+00  0.47642674E+01  0.95285347E+01  0.60000000E+08     1
    32    15    34       12        2     0.10908317E+03  0.10434913E+03  0.50000000E+00  0.47340318E+01  0.94680637E+01  0.60000000E+08     1
    32    15    35       12        2     0.10550936E+03  0.10080633E+03  0.50000000E+00  0.47030304E+01  0.94060609E+01  0.60000000E+08     1
    32    15    36       12        2     0.10193980E+03  0.97269028E+02  0.50000000E+00  0.46707753E+01  0.93415505E+01  0.60000000E+08     1
