% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15727186E+03  0.15145234E+03  0.50000000E+00  0.58195176E+01  0.11639035E+02  0.60000000E+08     1
    32    15    22       12        2     0.15351947E+03  0.14773580E+03  0.50000000E+00  0.57836671E+01  0.11567334E+02  0.60000000E+08     1
    32    15    23       12        2     0.14978454E+03  0.14403725E+03  0.50000000E+00  0.57472903E+01  0.11494581E+02  0.60000000E+08     1
    32    15    24       12        2     0.14606646E+03  0.14035619E+03  0.50000000E+00  0.57102748E+01  0.11420550E+02  0.60000000E+08     1
    32    15    25       12        2     0.14236451E+03  0.13669201E+03  0.50000000E+00  0.56724999E+01  0.11345000E+02  0.60000000E+08     1
    32    15    26       12        2     0.13867790E+03  0.13304408E+03  0.50000000E+00  0.56338205E+01  0.11267641E+02  0.60000000E+08     1
    32    15    27       12        2     0.13500574E+03  0.12941170E+03  0.50000000E+00  0.55940406E+01  0.11188081E+02  0.60000000E+08     1
    32    15    28       12        2     0.13134704E+03  0.12579415E+03  0.50000000E+00  0.55528901E+01  0.11105780E+02  0.60000000E+08     1
    32    15    29       12        2     0.12770079E+03  0.12219071E+03  0.50000000E+00  0.55100782E+01  0.11020156E+02  0.60000000E+08     1
    32    15    30       12        2     0.12406590E+03  0.11860055E+03  0.50000000E+00  0.54653411E+01  0.10930682E+02  0.60000000E+08     1
    32    15    31       12        2     0.12044112E+03  0.11502268E+03  0.50000000E+00  0.54184350E+01  0.10836870E+02  0.60000000E+08     1
    32    15    32       12        2     0.11682496E+03  0.11145585E+03  0.50000000E+00  0.53691076E+01  0.10738215E+02  0.60000000E+08     1
    32    15    33       12        2     0.11321559E+03  0.10789855E+03  0.50000000E+00  0.53170396E+01  0.10634079E+02  0.60000000E+08     1
    32    15    34       12        2     0.10961082E+03  0.10434913E+03  0.50000000E+00  0.52616875E+01  0.10523375E+02  0.60000000E+08     1
    32    15    35       12        2     0.10600816E+03  0.10080633E+03  0.50000000E+00  0.52018362E+01  0.10403672E+02  0.60000000E+08     1
    32    15    36       12        2     0.10240536E+03  0.97269028E+02  0.50000000E+00  0.51363347E+01  0.10272669E+02  0.60000000E+08     1
    32    15    37       12        2     0.98800095E+02  0.93735758E+02  0.50000000E+00  0.50643372E+01  0.10128674E+02  0.60000000E+08     1
    32    15    38       12        2     0.95189378E+02  0.90204327E+02  0.50000000E+00  0.49850516E+01  0.99701032E+01  0.60000000E+08     1
    32    15    39       12        2     0.91569265E+02  0.86671385E+02  0.50000000E+00  0.48978794E+01  0.97957587E+01  0.60000000E+08     1
    32    15    40       12        2     0.87934494E+02  0.83131509E+02  0.50000000E+00  0.48029854E+01  0.96059709E+01  0.60000000E+08     1
    32    15    41       12        2     0.84277988E+02  0.79575263E+02  0.50000000E+00  0.47027251E+01  0.94054502E+01  0.60000000E+08     1
    32    15    42       12        2     0.80588530E+02  0.75984904E+02  0.50000000E+00  0.46036263E+01  0.92072525E+01  0.60000000E+08     1
    32    15    43       12        2     0.76845892E+02  0.72324252E+02  0.50000000E+00  0.45216400E+01  0.90432801E+01  0.60000000E+08     1
    32    15    44       12        2     0.72986601E+02  0.68531442E+02  0.50000000E+00  0.44551592E+01  0.89103185E+01  0.60000000E+08     1
    32    15    45       12        2     0.69066858E+02  0.64669560E+02  0.50000000E+00  0.43972978E+01  0.87945957E+01  0.60000000E+08     1
    32    15    46       12        2     0.65152326E+02  0.60810325E+02  0.50000000E+00  0.43420011E+01  0.86840022E+01  0.60000000E+08     1
    32    15    47       12        2     0.61272857E+02  0.56994213E+02  0.50000000E+00  0.42786438E+01  0.85572875E+01  0.60000000E+08     1
    32    15    48       12        2     0.57447892E+02  0.53259247E+02  0.50000000E+00  0.41886451E+01  0.83772901E+01  0.60000000E+08     1
    32    15    49       12        2     0.53702799E+02  0.49667649E+02  0.50000000E+00  0.40351498E+01  0.80702995E+01  0.60000000E+08     1
    32    15    50       12        2     0.50087903E+02  0.46839711E+02  0.50000000E+00  0.32481916E+01  0.64963831E+01  0.60000000E+08     1
    32    15    51        9        2     0.47228038E+02  0.43918630E+02  0.50000000E+00  0.33094081E+01  0.66188161E+01  0.60000000E+08     1
    32    15    52        8        2     0.44219170E+02  0.40376437E+02  0.50000000E+00  0.38427326E+01  0.76854652E+01  0.60000000E+08     1
    32    15    53        8        2     0.40576200E+02  0.36129785E+02  0.50000000E+00  0.44464156E+01  0.88928311E+01  0.60000000E+08     1
    32    15    54        7        2     0.36247780E+02  0.31150589E+02  0.50000000E+00  0.50971911E+01  0.10194382E+02  0.60000000E+08     1
    32    15    55        7        2     0.31199223E+02  0.26234622E+02  0.50000000E+00  0.49646006E+01  0.99292011E+01  0.60000000E+08     1
    32    15    56        7        2     0.26246372E+02  0.21462407E+02  0.50000000E+00  0.47839649E+01  0.95679299E+01  0.60000000E+08     1
    32    15    57        7        2     0.21460278E+02  0.17040457E+02  0.50000000E+00  0.44198215E+01  0.88396430E+01  0.60000000E+08     1
    79    23    31       12        2     0.11662733E+03  0.11190129E+03  0.50000000E+00  0.47260362E+01  0.94520724E+01  0.60000000E+08     1
    79    23    32       12        2     0.11299936E+03  0.10831165E+03  0.50000000E+00  0.46877102E+01  0.93754205E+01  0.60000000E+08     1
    79    23    33       12        2     0.10938832E+03  0.10473877E+03  0.50000000E+00  0.46495438E+01  0.92990876E+01  0.60000000E+08     1
    79    23    34       12        2     0.10579388E+03  0.10118208E+03  0.50000000E+00  0.46117959E+01  0.92235918E+01  0.60000000E+08     1
    79    23    35       12        2     0.10221557E+03  0.97640698E+02  0.50000000E+00  0.45748673E+01  0.91497346E+01  0.60000000E+08     1
    79    23    36       12        2     0.98652633E+02  0.94113242E+02  0.50000000E+00  0.45393917E+01  0.90787834E+01  0.60000000E+08     1
    79    23    37       12        2     0.95103892E+02  0.90597498E+02  0.50000000E+00  0.45063934E+01  0.90127868E+01  0.60000000E+08     1
    79    23    38       12        2     0.91567349E+02  0.87089785E+02  0.50000000E+00  0.44775641E+01  0.89551282E+01  0.60000000E+08     1
    79    23    39       12        2     0.88039524E+02  0.83583770E+02  0.50000000E+00  0.44557539E+01  0.89115077E+01  0.60000000E+08     1
    79    23    40       12        2     0.84514088E+02  0.80068237E+02  0.50000000E+00  0.44458512E+01  0.88917024E+01  0.60000000E+08     1
    79    23    41       12        2     0.80979112E+02  0.76522745E+02  0.50000000E+00  0.44563673E+01  0.89127346E+01  0.60000000E+08     1
    79    23    42       12        2     0.77411435E+02  0.72909137E+02  0.50000000E+00  0.45022979E+01  0.90045958E+01  0.60000000E+08     1
    79    23    43       12        2     0.73765009E+02  0.68506751E+02  0.50000000E+00  0.52582583E+01  0.10516517E+02  0.60000000E+08     1
    79    23    44        6        2     0.69287969E+02  0.64742587E+02  0.50000000E+00  0.45453819E+01  0.90907638E+01  0.60000000E+08     1
    79    23    45        9        2     0.65387979E+02  0.61703930E+02  0.50000000E+00  0.36840483E+01  0.73680967E+01  0.60000000E+08     1
    79    23    46        8        2     0.62177334E+02  0.57964762E+02  0.50000000E+00  0.42125716E+01  0.84251433E+01  0.60000000E+08     1
    79    23    47        8        2     0.58266673E+02  0.53428196E+02  0.50000000E+00  0.48384765E+01  0.96769530E+01  0.60000000E+08     1
    79    23    48        7        2     0.53640633E+02  0.48175945E+02  0.50000000E+00  0.54646883E+01  0.10929377E+02  0.60000000E+08     1
    79    23    49        7        2     0.48327153E+02  0.42972006E+02  0.50000000E+00  0.53551466E+01  0.10710293E+02  0.60000000E+08     1
    79    23    50        7        2     0.43080392E+02  0.37780273E+02  0.50000000E+00  0.53001185E+01  0.10600237E+02  0.60000000E+08     1
