% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15548005E+03  0.15145234E+03  0.50000000E+00  0.40277167E+01  0.80554334E+01  0.60000000E+08     1
    32    15    22       12        2     0.15174909E+03  0.14773580E+03  0.50000000E+00  0.40132949E+01  0.80265898E+01  0.60000000E+08     1
    32    15    23       12        2     0.14803703E+03  0.14403725E+03  0.50000000E+00  0.39997785E+01  0.79995569E+01  0.60000000E+08     1
    32    15    24       12        2     0.14434343E+03  0.14035619E+03  0.50000000E+00  0.39872488E+01  0.79744977E+01  0.60000000E+08     1
    32    15    25       12        2     0.14066781E+03  0.13669201E+03  0.50000000E+00  0.39758018E+01  0.79516036E+01  0.60000000E+08     1
    32    15    26       12        2     0.13700962E+03  0.13304408E+03  0.50000000E+00  0.39655337E+01  0.79310675E+01  0.60000000E+08     1
    32    15    27       12        2     0.13336821E+03  0.12941170E+03  0.50000000E+00  0.39565160E+01  0.79130321E+01  0.60000000E+08     1
    32    15    28       12        2     0.12974292E+03  0.12579415E+03  0.50000000E+00  0.39487729E+01  0.78975459E+01  0.60000000E+08     1
    32    15    29       12        2     0.12613305E+03  0.12219071E+03  0.50000000E+00  0.39423373E+01  0.78846746E+01  0.60000000E+08     1
    32    15    30       12        2     0.12253786E+03  0.11860055E+03  0.50000000E+00  0.39373049E+01  0.78746098E+01  0.60000000E+08     1
    32    15    31       12        2     0.11895652E+03  0.11502268E+03  0.50000000E+00  0.39338335E+01  0.78676671E+01  0.60000000E+08     1
    32    15    32       12        2     0.11538797E+03  0.11145585E+03  0.50000000E+00  0.39321216E+01  0.78642432E+01  0.60000000E+08     1
    32    15    33       12        2     0.11183091E+03  0.10789855E+03  0.50000000E+00  0.39323591E+01  0.78647182E+01  0.60000000E+08     1
    32    15    34       12        2     0.10828372E+03  0.10434913E+03  0.50000000E+00  0.39345833E+01  0.78691666E+01  0.60000000E+08     1
    32    15    35       12        2     0.10474457E+03  0.10080633E+03  0.50000000E+00  0.39382439E+01  0.78764879E+01  0.60000000E+08     1
    32    15    36       12        2     0.10121197E+03  0.97269028E+02  0.50000000E+00  0.39429449E+01  0.78858898E+01  0.60000000E+08     1
    32    15    37       12        2     0.97684536E+02  0.93735758E+02  0.50000000E+00  0.39487782E+01  0.78975564E+01  0.60000000E+08     1
    32    15    38       12        2     0.94160435E+02  0.90204327E+02  0.50000000E+00  0.39561082E+01  0.79122164E+01  0.60000000E+08     1
    32    15    39       12        2     0.90637134E+02  0.86671385E+02  0.50000000E+00  0.39657485E+01  0.79314971E+01  0.60000000E+08     1
    32    15    40       12        2     0.87111015E+02  0.83131509E+02  0.50000000E+00  0.39795056E+01  0.79590112E+01  0.60000000E+08     1
    32    15    41       12        2     0.83576604E+02  0.79575263E+02  0.50000000E+00  0.40013403E+01  0.80026806E+01  0.60000000E+08     1
    32    15    42       12        2     0.80024799E+02  0.75984904E+02  0.50000000E+00  0.40398948E+01  0.80797896E+01  0.60000000E+08     1
    32    15    43       12        2     0.76438586E+02  0.72324252E+02  0.50000000E+00  0.41143340E+01  0.82286680E+01  0.60000000E+08     1
    32    15    44       12        2     0.72782531E+02  0.68531442E+02  0.50000000E+00  0.42510886E+01  0.85021773E+01  0.60000000E+08     1
    32    15    45       12        2     0.68995102E+02  0.64669560E+02  0.50000000E+00  0.43255419E+01  0.86510838E+01  0.60000000E+08     1
    32    15    46       12        2     0.65137746E+02  0.60810325E+02  0.50000000E+00  0.43274217E+01  0.86548434E+01  0.60000000E+08     1
    32    15    47       12        2     0.61281607E+02  0.56994213E+02  0.50000000E+00  0.42873938E+01  0.85747876E+01  0.60000000E+08     1
    32    15    48       12        2     0.57465812E+02  0.53259247E+02  0.50000000E+00  0.42065654E+01  0.84131307E+01  0.60000000E+08     1
    32    15    49       12        2     0.53725588E+02  0.49667649E+02  0.50000000E+00  0.40579383E+01  0.81158765E+01  0.60000000E+08     1
    32    15    50       12        2     0.50117037E+02  0.46839711E+02  0.50000000E+00  0.32773256E+01  0.65546512E+01  0.60000000E+08     1
    32    15    51        9        2     0.47258590E+02  0.43918630E+02  0.50000000E+00  0.33399608E+01  0.66799216E+01  0.60000000E+08     1
    32    15    52        8        2     0.44247377E+02  0.40376437E+02  0.50000000E+00  0.38709394E+01  0.77418789E+01  0.60000000E+08     1
    32    15    53        8        2     0.40599635E+02  0.36129785E+02  0.50000000E+00  0.44698500E+01  0.89397000E+01  0.60000000E+08     1
    32    15    54        7        2     0.36266028E+02  0.31150589E+02  0.50000000E+00  0.51154386E+01  0.10230877E+02  0.60000000E+08     1
    32    15    55        7        2     0.31211895E+02  0.26234622E+02  0.50000000E+00  0.49772726E+01  0.99545452E+01  0.60000000E+08     1
    32    15    56        7        2     0.26254109E+02  0.21462407E+02  0.50000000E+00  0.47917021E+01  0.95834043E+01  0.60000000E+08     1
    32    15    57        7        2     0.21463940E+02  0.17040457E+02  0.50000000E+00  0.44234826E+01  0.88469652E+01  0.60000000E+08     1
    79    23    31       12        2     0.11602521E+03  0.11190129E+03  0.50000000E+00  0.41239191E+01  0.82478382E+01  0.60000000E+08     1
    79    23    32       12        2     0.11241789E+03  0.10831165E+03  0.50000000E+00  0.41062407E+01  0.82124814E+01  0.60000000E+08     1
    79    23    33       12        2     0.10882770E+03  0.10473877E+03  0.50000000E+00  0.40889286E+01  0.81778572E+01  0.60000000E+08     1
    79    23    34       12        2     0.10525429E+03  0.10118208E+03  0.50000000E+00  0.40722107E+01  0.81444214E+01  0.60000000E+08     1
    79    23    35       12        2     0.10169715E+03  0.97640698E+02  0.50000000E+00  0.40564563E+01  0.81129125E+01  0.60000000E+08     1
    79    23    36       12        2     0.98155509E+02  0.94113242E+02  0.50000000E+00  0.40422680E+01  0.80845359E+01  0.60000000E+08     1
    79    23    37       12        2     0.94628139E+02  0.90597498E+02  0.50000000E+00  0.40306408E+01  0.80612816E+01  0.60000000E+08     1
    79    23    38       12        2     0.91113025E+02  0.87089785E+02  0.50000000E+00  0.40232407E+01  0.80464814E+01  0.60000000E+08     1
    79    23    39       12        2     0.87606669E+02  0.83583770E+02  0.50000000E+00  0.40228993E+01  0.80457985E+01  0.60000000E+08     1
    79    23    40       12        2     0.84102737E+02  0.80068237E+02  0.50000000E+00  0.40344995E+01  0.80689990E+01  0.60000000E+08     1
    79    23    41       12        2     0.80589318E+02  0.76522745E+02  0.50000000E+00  0.40665727E+01  0.81331454E+01  0.60000000E+08     1
    79    23    42       12        2     0.77043321E+02  0.72909137E+02  0.50000000E+00  0.41341844E+01  0.82683689E+01  0.60000000E+08     1
    79    23    43       12        2     0.73418871E+02  0.68506751E+02  0.50000000E+00  0.49121197E+01  0.98242394E+01  0.60000000E+08     1
    79    23    44        6        2     0.68968662E+02  0.64742587E+02  0.50000000E+00  0.42260746E+01  0.84521492E+01  0.60000000E+08     1
    79    23    45        9        2     0.65091892E+02  0.61703930E+02  0.50000000E+00  0.33879616E+01  0.67759232E+01  0.60000000E+08     1
    79    23    46        8        2     0.61901019E+02  0.57964762E+02  0.50000000E+00  0.39362565E+01  0.78725130E+01  0.60000000E+08     1
    79    23    47        8        2     0.58013959E+02  0.53428196E+02  0.50000000E+00  0.45857625E+01  0.91715250E+01  0.60000000E+08     1
    79    23    48        7        2     0.53415684E+02  0.48175945E+02  0.50000000E+00  0.52397388E+01  0.10479478E+02  0.60000000E+08     1
    79    23    49        7        2     0.48133688E+02  0.42972006E+02  0.50000000E+00  0.51616814E+01  0.10323363E+02  0.60000000E+08     1
    79    23    50        7        2     0.42917881E+02  0.37780273E+02  0.50000000E+00  0.51376081E+01  0.10275216E+02  0.60000000E+08     1
    79    23    51        7        2     0.37727451E+02  0.32571487E+02  0.50000000E+00  0.51559643E+01  0.10311929E+02  0.60000000E+08     1
    79    23    52        7        2     0.32542704E+02  0.27557691E+02  0.50000000E+00  0.49850138E+01  0.99700275E+01  0.60000000E+08     1
    79    23    53        6        2     0.27552534E+02  0.22740615E+02  0.50000000E+00  0.48119191E+01  0.96238383E+01  0.60000000E+08     1
    79    23    54        6        2     0.22741817E+02  0.17889341E+02  0.50000000E+00  0.48524755E+01  0.97049511E+01  0.60000000E+08     1
    54    35    18       12        2     0.16754555E+03  0.16379233E+03  0.50000000E+00  0.37532202E+01  0.75064404E+01  0.60000000E+08     1
    54    35    19       12        2     0.16376397E+03  0.16005174E+03  0.50000000E+00  0.37122355E+01  0.74244710E+01  0.60000000E+08     1
    54    35    20       12        2     0.16000407E+03  0.15630407E+03  0.50000000E+00  0.36999961E+01  0.73999923E+01  0.60000000E+08     1
    54    35    21       12        2     0.15627121E+03  0.15255215E+03  0.50000000E+00  0.37190639E+01  0.74381279E+01  0.60000000E+08     1
    54    35    22       11        2     0.15253437E+03  0.14882833E+03  0.50000000E+00  0.37060342E+01  0.74120685E+01  0.60000000E+08     1
    54    35    23       11        2     0.14879400E+03  0.14512802E+03  0.50000000E+00  0.36659797E+01  0.73319594E+01  0.60000000E+08     1
    54    35    24       11        2     0.14508135E+03  0.14145250E+03  0.50000000E+00  0.36288588E+01  0.72577176E+01  0.60000000E+08     1
