% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15699708E+03  0.15145234E+03  0.50000000E+00  0.55447401E+01  0.11089480E+02  0.60000000E+08     1
    32    15    22       12        2     0.15324608E+03  0.14773580E+03  0.50000000E+00  0.55102786E+01  0.11020557E+02  0.60000000E+08     1
    32    15    23       12        2     0.14951297E+03  0.14403725E+03  0.50000000E+00  0.54757197E+01  0.10951439E+02  0.60000000E+08     1
    32    15    24       12        2     0.14579723E+03  0.14035619E+03  0.50000000E+00  0.54410463E+01  0.10882093E+02  0.60000000E+08     1
    32    15    25       12        2     0.14209826E+03  0.13669201E+03  0.50000000E+00  0.54062448E+01  0.10812490E+02  0.60000000E+08     1
    32    15    26       12        2     0.13841537E+03  0.13304408E+03  0.50000000E+00  0.53712911E+01  0.10742582E+02  0.60000000E+08     1
    32    15    27       12        2     0.13474782E+03  0.12941170E+03  0.50000000E+00  0.53361243E+01  0.10672249E+02  0.60000000E+08     1
    32    15    28       12        2     0.13109477E+03  0.12579415E+03  0.50000000E+00  0.53006245E+01  0.10601249E+02  0.60000000E+08     1
    32    15    29       12        2     0.12745538E+03  0.12219071E+03  0.50000000E+00  0.52646679E+01  0.10529336E+02  0.60000000E+08     1
    32    15    30       12        2     0.12382873E+03  0.11860055E+03  0.50000000E+00  0.52281772E+01  0.10456354E+02  0.60000000E+08     1
    32    15    31       12        2     0.12021380E+03  0.11502268E+03  0.50000000E+00  0.51911172E+01  0.10382234E+02  0.60000000E+08     1
    32    15    32       12        2     0.11660932E+03  0.11145585E+03  0.50000000E+00  0.51534687E+01  0.10306937E+02  0.60000000E+08     1
    32    15    33       12        2     0.11301372E+03  0.10789855E+03  0.50000000E+00  0.51151728E+01  0.10230346E+02  0.60000000E+08     1
    32    15    34       12        2     0.10942511E+03  0.10434913E+03  0.50000000E+00  0.50759730E+01  0.10151946E+02  0.60000000E+08     1
    32    15    35       12        2     0.10584129E+03  0.10080633E+03  0.50000000E+00  0.50349600E+01  0.10069920E+02  0.60000000E+08     1
    32    15    36       12        2     0.10226031E+03  0.97269028E+02  0.50000000E+00  0.49912776E+01  0.99825553E+01  0.60000000E+08     1
    32    15    37       12        2     0.98680081E+02  0.93735758E+02  0.50000000E+00  0.49443237E+01  0.98886474E+01  0.60000000E+08     1
    32    15    38       12        2     0.95097689E+02  0.90204327E+02  0.50000000E+00  0.48933625E+01  0.97867251E+01  0.60000000E+08     1
    32    15    39       12        2     0.91508775E+02  0.86671385E+02  0.50000000E+00  0.48373898E+01  0.96747796E+01  0.60000000E+08     1
