% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15685217E+03  0.15145234E+03  0.50000000E+00  0.53998324E+01  0.10799665E+02  0.60000000E+08     1
    32    15    22       12        2     0.15310343E+03  0.14773580E+03  0.50000000E+00  0.53676290E+01  0.10735258E+02  0.60000000E+08     1
    32    15    23       12        2     0.14937243E+03  0.14403725E+03  0.50000000E+00  0.53351719E+01  0.10670344E+02  0.60000000E+08     1
    32    15    24       12        2     0.14565860E+03  0.14035619E+03  0.50000000E+00  0.53024165E+01  0.10604833E+02  0.60000000E+08     1
    32    15    25       12        2     0.14196134E+03  0.13669201E+03  0.50000000E+00  0.52693243E+01  0.10538649E+02  0.60000000E+08     1
    32    15    26       12        2     0.13827993E+03  0.13304408E+03  0.50000000E+00  0.52358501E+01  0.10471700E+02  0.60000000E+08     1
    32    15    27       12        2     0.13461361E+03  0.12941170E+03  0.50000000E+00  0.52019181E+01  0.10403836E+02  0.60000000E+08     1
    32    15    28       12        2     0.13096155E+03  0.12579415E+03  0.50000000E+00  0.51674025E+01  0.10334805E+02  0.60000000E+08     1
    32    15    29       12        2     0.12732289E+03  0.12219071E+03  0.50000000E+00  0.51321853E+01  0.10264371E+02  0.60000000E+08     1
    32    15    30       12        2     0.12369676E+03  0.11860055E+03  0.50000000E+00  0.50962104E+01  0.10192421E+02  0.60000000E+08     1
    32    15    31       12        2     0.12008217E+03  0.11502268E+03  0.50000000E+00  0.50594842E+01  0.10118968E+02  0.60000000E+08     1
    32    15    32       12        2     0.11647790E+03  0.11145585E+03  0.50000000E+00  0.50220546E+01  0.10044109E+02  0.60000000E+08     1
    32    15    33       12        2     0.11288251E+03  0.10789855E+03  0.50000000E+00  0.49839616E+01  0.99679231E+01  0.60000000E+08     1
    32    15    34       12        2     0.10929422E+03  0.10434913E+03  0.50000000E+00  0.49450884E+01  0.98901767E+01  0.60000000E+08     1
    32    15    35       12        2     0.10571104E+03  0.10080633E+03  0.50000000E+00  0.49047169E+01  0.98094339E+01  0.60000000E+08     1
    32    15    36       12        2     0.10213128E+03  0.97269028E+02  0.50000000E+00  0.48622500E+01  0.97244999E+01  0.60000000E+08     1
    32    15    37       12        2     0.98553193E+02  0.93735758E+02  0.50000000E+00  0.48174354E+01  0.96348708E+01  0.60000000E+08     1
    32    15    38       12        2     0.94974326E+02  0.90204327E+02  0.50000000E+00  0.47699989E+01  0.95399979E+01  0.60000000E+08     1
    32    15    39       12        2     0.91390893E+02  0.86671385E+02  0.50000000E+00  0.47195071E+01  0.94390142E+01  0.60000000E+08     1
    32    15    40       12        2     0.87796834E+02  0.83131509E+02  0.50000000E+00  0.46653255E+01  0.93306510E+01  0.60000000E+08     1
    32    15    41       12        2     0.84182159E+02  0.79575263E+02  0.50000000E+00  0.46068963E+01  0.92137925E+01  0.60000000E+08     1
    32    15    42       12        2     0.80530607E+02  0.75984904E+02  0.50000000E+00  0.45457037E+01  0.90914074E+01  0.60000000E+08     1
    32    15    43       12        2     0.76817245E+02  0.72324252E+02  0.50000000E+00  0.44929932E+01  0.89859864E+01  0.60000000E+08     1
    32    15    44       12        2     0.72976826E+02  0.68531442E+02  0.50000000E+00  0.44453841E+01  0.88907682E+01  0.60000000E+08     1
