% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15376975E+03  0.15145234E+03  0.50000000E+00  0.23174136E+01  0.46348272E+01  0.60000000E+08     1
    32    15    22       12        2     0.15004524E+03  0.14773580E+03  0.50000000E+00  0.23094364E+01  0.46188728E+01  0.60000000E+08     1
    32    15    23       12        2     0.14633966E+03  0.14403725E+03  0.50000000E+00  0.23024084E+01  0.46048167E+01  0.60000000E+08     1
    32    15    24       12        2     0.14265265E+03  0.14035619E+03  0.50000000E+00  0.22964672E+01  0.45929343E+01  0.60000000E+08     1
    32    15    25       12        2     0.13898379E+03  0.13669201E+03  0.50000000E+00  0.22917746E+01  0.45835491E+01  0.60000000E+08     1
    32    15    26       12        2     0.13533259E+03  0.13304408E+03  0.50000000E+00  0.22885043E+01  0.45770087E+01  0.60000000E+08     1
    32    15    27       12        2     0.13169851E+03  0.12941170E+03  0.50000000E+00  0.22868189E+01  0.45736378E+01  0.60000000E+08     1
    32    15    28       12        2     0.12808100E+03  0.12579415E+03  0.50000000E+00  0.22868504E+01  0.45737008E+01  0.60000000E+08     1
    32    15    29       12        2     0.12447947E+03  0.12219071E+03  0.50000000E+00  0.22887612E+01  0.45775224E+01  0.60000000E+08     1
    32    15    30       12        2     0.12089336E+03  0.11860055E+03  0.50000000E+00  0.22928069E+01  0.45856138E+01  0.60000000E+08     1
    32    15    31       12        2     0.11732203E+03  0.11502268E+03  0.50000000E+00  0.22993441E+01  0.45986882E+01  0.60000000E+08     1
    32    15    32       12        2     0.11376467E+03  0.11145585E+03  0.50000000E+00  0.23088200E+01  0.46176399E+01  0.60000000E+08     1
    32    15    33       12        2     0.11022029E+03  0.10789855E+03  0.50000000E+00  0.23217374E+01  0.46434747E+01  0.60000000E+08     1
    32    15    34       12        2     0.10668766E+03  0.10434913E+03  0.50000000E+00  0.23385300E+01  0.46770600E+01  0.60000000E+08     1
    32    15    35       12        2     0.10316548E+03  0.10080633E+03  0.50000000E+00  0.23591526E+01  0.47183053E+01  0.60000000E+08     1
    32    15    36       12        2     0.99652883E+02  0.97269028E+02  0.50000000E+00  0.23838549E+01  0.47677098E+01  0.60000000E+08     1
    32    15    37       12        2     0.96149390E+02  0.93735758E+02  0.50000000E+00  0.24136323E+01  0.48272646E+01  0.60000000E+08     1
    32    15    38       12        2     0.92654422E+02  0.90204327E+02  0.50000000E+00  0.24500951E+01  0.49001903E+01  0.60000000E+08     1
    32    15    39       12        2     0.89167191E+02  0.86671385E+02  0.50000000E+00  0.24958056E+01  0.49916112E+01  0.60000000E+08     1
    32    15    40       12        2     0.85686628E+02  0.83131509E+02  0.50000000E+00  0.25551188E+01  0.51102377E+01  0.60000000E+08     1
    32    15    41       12        2     0.82211215E+02  0.79575263E+02  0.50000000E+00  0.26359521E+01  0.52719041E+01  0.60000000E+08     1
    32    15    42       12        2     0.78738601E+02  0.75984904E+02  0.50000000E+00  0.27536968E+01  0.55073935E+01  0.60000000E+08     1
    32    15    43       12        2     0.75264758E+02  0.72324252E+02  0.50000000E+00  0.29405062E+01  0.58810125E+01  0.60000000E+08     1
    32    15    44       12        2     0.71782273E+02  0.68531442E+02  0.50000000E+00  0.32508314E+01  0.65016629E+01  0.60000000E+08     1
    32    15    45       12        2     0.68286545E+02  0.64669560E+02  0.50000000E+00  0.36169852E+01  0.72339704E+01  0.60000000E+08     1
    32    15    46       12        2     0.64774490E+02  0.60810325E+02  0.50000000E+00  0.39641655E+01  0.79283311E+01  0.60000000E+08     1
    32    15    47       12        2     0.61240580E+02  0.56994213E+02  0.50000000E+00  0.42463674E+01  0.84927348E+01  0.60000000E+08     1
    32    15    48       12        2     0.57683188E+02  0.53259247E+02  0.50000000E+00  0.44239405E+01  0.88478809E+01  0.60000000E+08     1
    32    15    49       12        2     0.54086950E+02  0.49667649E+02  0.50000000E+00  0.44193005E+01  0.88386010E+01  0.60000000E+08     1
    32    15    50       12        2     0.50531072E+02  0.46839711E+02  0.50000000E+00  0.36913610E+01  0.73827221E+01  0.60000000E+08     1
