X,Y,Z,grav
21777.77777777778,7142.857142857143,405.17295437015514,-534.733472293588
22343.434343434346,9142.857142857143,455.98018926845504,-534.333157631818
16686.86868686869,4285.714285714286,389.33899421926134,-528.564066493437
21494.9494949495,8000.0,424.79771975645417,-534.7232097463053
21494.9494949495,11428.57142857143,469.8543551410852,-534.5646461387292
3393.939393939394,8000.0,866.4044048481697,-538.2572999394703
11313.131313131315,1142.857142857143,733.3503377757884,-524.9622670705479
18666.666666666668,6857.142857142857,358.79883263825286,-532.0934673465878
16969.69696969697,2857.1428571428573,491.4085844297623,-529.0807779633167
13010.10101010101,2000.0,743.8614225813212,-523.9922145695134
20080.80808080808,1428.5714285714287,493.58660068486995,-534.0557517817363
7070.707070707072,12000.0,885.8995566621846,-534.5652127809168
8767.676767676769,10857.142857142857,790.3981608958467,-531.0831554189713
6222.222222222223,10571.428571428572,960.8438960990247,-533.6078197684303
24888.88888888889,285.7142857142857,593.2366460218761,-531.7294204572396
