21777.78, 10571.43, 435.32, -532.09985
12444.44, 857.14, 748.20, -519.91175
24323.23, 9714.29, 492.00, -531.09734
16121.21, 4285.71, 420.43, -523.91848
6505.05, 5142.86, 924.12, -533.95178
17535.35, 7428.57, 409.18, -527.97212
282.83, 10857.14, 778.60, -539.27974
17252.53, 5428.57, 372.80, -526.96482
22343.43, 571.43, 514.47, -531.86278
12444.44, 12857.14, 639.39, -519.69953
21212.12, 5714.29, 346.97, -531.69577
27717.17, 7714.29, 857.67, -527.26290
10464.65, 4000.00, 657.50, -522.52793
25737.37, 6285.71, 625.53, -529.87056
0.00, 3714.29, 743.94, -539.29480
6505.05, 11428.57, 923.69, -534.22421
20363.64, 1142.86, 494.64, -531.21579
16969.70, 3142.86, 465.17, -525.53240
7353.54, 8285.71, 922.67, -532.00697
15555.56, 9142.86, 451.14, -523.26569
