x_loc,z,x_glob,y_glob
830.9282497017683,326.8571428571429,2671171.2448308077,1268037.1906570087
2168.053998204762,291.428571428571,2671726.811154346,1266820.945892391
3314.1617826359,202.8571428571429,2672203.010860236,1265778.4503798615
4738.113878444283,43.428571428571445,2672794.6529190685,1264483.2286824763
5884.221662875421,25.71428571428521,2673270.8526249584,1263440.7331699468
6926.137830540091,114.28571428571433,2673703.7614484946,1262493.0099767384
8159.071962276618,-36.2857142857149,2674216.0368896793,1261371.5375314415
9930.328917360592,193.99999999999943,2674951.981669502,1259760.4085850238
9669.849875444423,-27.428571428571786,2674843.7544636177,1259997.3393833258
10746.49658203125,459.7142857142852,2675291.093581272,1259018.0254170103
11163.263049097119,-0.8571428571433444,2675464.2571106865,1258638.9361397268
12100.987599995322,-257.71428571428623,2675853.875051869,1257785.9852658391
13872.245085025263,-461.428571428572,2676589.8200518806,1256174.8558373845
