x_loc,z,x_glob,y_glob
292.60489640835516,-556.3476911272321,2670947.575271981,1268526.8476401665
2011.7665730550618,-582.9191196986608,2671661.8748308155,1266963.1043713724
3227.335435330511,-671.4905482700892,2672166.935124941,1265857.4273126288
4408.173758683804,-804.3476911272321,2672657.565124949,1264783.3410269925
5918.952201797577,-804.3476911272321,2673285.2829190763,1263409.14239684
7256.077950300571,-919.4905482700892,2673840.8492426146,1262192.8976322222
7985.41926766584,-910.6334054129466,2674143.88541909,1261529.4913969762
9930.328917360592,-901.7762625558039,2674951.981669502,1259760.4085850238
10451.287001192926,-892.9191196986606,2675168.4360812698,1259286.5469884195
11215.358857480353,-963.7762625558037,2675485.902551863,1258591.5499800665
12222.544486222867,-1123.204833984375,2675904.381081281,1257675.4175599648
13281.825923348615,-1185.204833984375,2676344.5050518764,1256711.8989802026
14289.01155209113,-1264.9191196986608,2676762.983581295,1255795.766560101
