x_loc,z,x_glob,y_glob
11289.281605246539,-1964.6334054129466,2654312.7528739874,1257134.7770440485
11867.724719018996,-1185.204833984375,2654583.893068446,1256623.817720012
12418.622922611807,-458.9191196986608,2654842.121825073,1256137.1897923583
