X,Y,Z,azimuth,dip,polarity,formation
4301.66632,2.0,555.00009,180.0,1.0582992305292147,1.0,Lower-filling
9248.725145,2.0,-2702.1427700000004,180.0,57.4217183585199,1.0,Lower-filling
11779.1173,2.0,-5830.7142,0.0,8.82037961189474,1.0,Lower-filling
12831.078085000001,2.0,-5487.857055,0.0,25.223207545807178,1.0,Lower-filling
14082.05848,2.0,-4673.57134,0.0,38.68776368163391,1.0,Lower-filling
15020.293769999998,2.0,-3912.8570550000004,0.0,39.944100688077285,1.0,Lower-filling
15588.921219999998,2.0,-3484.285625,0.0,34.41804104640031,1.0,Lower-filling
16811.47024,2.0,-2434.285625,0.0,42.56950296618584,1.0,Lower-filling
18346.764355,2.0,-1769.99991,180.0,15.326741006580363,1.0,Lower-filling
21246.764355,2.0,-677.1427699999999,0.0,29.067483162792882,1.0,Lower-filling
25682.058474999998,2.0,587.1429400000001,0.0,0.0,1.0,Lower-filling
