# x z
9304.99980 -612.85706
9971.66646 -869.99991
10804.99980 -1298.57134
11971.66646 -1962.85706
13004.99980 -2177.14277
14204.99980 -2048.57134
16538.33313 -2091.42848
17471.66646 -2112.85706
18638.33313 -1662.85706
20938.33313 694.28580
24938.33313 672.85723
