# x z
1401.66632 608.57152
7201.66632 501.42866
11295.78397 -5905.71420
12262.45063 -5755.71420
13399.70554 -5219.99991
14764.41142 -4127.14277
15276.17612 -3698.57134
15901.66632 -3269.99991
17721.27416 -1598.57134
18972.25455 -1941.42848
23521.27416 587.14294
27842.84279 587.14294
