X,Y,Z,azimuth,dip,polarity,formation
9671.666464999998,2.0,-216.42847999999998,180.0,11.560130845349356,1.0,Mesozoic
10521.666464999998,2.0,-430.714195,180.0,16.075782715951362,1.0,Mesozoic
11971.666464999998,2.0,-687.857055,180.0,6.951261811558076,1.0,Mesozoic
14421.666464999998,2.0,-816.428485,180.0,0.41384671990432864,1.0,Mesozoic
16671.666465000002,2.0,-966.4284849999999,180.0,10.297017110924067,1.0,Mesozoic
18038.333130000003,2.0,-1041.428485,0.0,6.1155036337205395,1.0,Mesozoic
19288.333130000003,2.0,-1009.285625,180.0,2.8310014894388567,1.0,Mesozoic
20704.999795000003,2.0,-1105.714195,180.0,4.793092165037336,1.0,Mesozoic
22204.999795000003,2.0,-1180.714195,180.0,0.8370540472473151,1.0,Mesozoic
24104.999795000003,2.0,-1266.42848,180.0,3.678238727233592,1.0,Mesozoic
