# x z
9438.33313 844.28580
12471.66646 -4941.42848
13971.66646 -4834.28563
15604.99980 -4212.85706
16471.66646 -3398.57134
17371.66646 -2862.85706
18304.99980 -2177.14277
19004.99980 -1684.28563
20671.66646 630.00009
22671.66646 608.57152
24938.33313 672.85723
