X,Y,Z,azimuth,dip,polarity,formation
2766.3722,2.0,576.42866,180.0,1.3492356213673324,1.0,Upper-filling
5069.313375,2.0,147.85723000000002,180.0,22.9053095993848,1.0,Upper-filling
7059.509455,2.0,-377.14277,180.0,6.968173302708601,1.0,Upper-filling
8879.1173,2.0,-902.1427699999999,180.0,27.312751246630945,1.0,Upper-filling
10300.68593,2.0,-1727.14277,180.0,33.240296245636564,1.0,Upper-filling
12034.999655,2.0,-2134.2856300000003,0.0,1.1362593269404029,1.0,Upper-filling
13968.332985,2.0,-2069.9999150000003,0.0,2.8764822697268246,1.0,Upper-filling
15532.058475,2.0,-1844.9999149999999,0.0,14.373109564476998,1.0,Upper-filling
17749.705535,2.0,-548.5713450000001,0.0,36.48195985138216,1.0,Upper-filling
21388.92122,2.0,576.428655,0.0,0.28788768188625435,1.0,Upper-filling
