# x z
9304.99980 -141.42848
10038.33313 -291.42848
11004.99980 -569.99991
12938.33313 -805.71420
15904.99980 -827.14277
17438.33313 -1105.71420
18638.33313 -977.14277
19938.33313 -1041.42848
21471.66646 -1169.99991
22938.33313 -1191.42848
25271.66646 -1341.42848
