# x z
1401.66632 608.57152
4131.07808 544.28580
5950.68593 8.57152
8225.19573 -119.99991
9760.48985 -441.42848
11466.37220 -634.28563
13854.60750 -741.42848
16015.39181 -869.99991
18119.31338 -934.28563
23464.41142 -1384.28563
25454.60750 -1512.85706
27672.25455 -1769.99991
21019.31338 -1041.42848
