X,Y,Z,azimuth,dip,polarity,formation
2766.3722,2.0,576.42866,180.0,1.3492356213673324,1.0,Mesozoic
5040.8820049999995,2.0,276.42866,180.0,16.40505842773786,1.0,Mesozoic
7087.94083,2.0,-55.714195000000004,180.0,3.2353209104345595,1.0,Mesozoic
8992.842789999999,2.0,-280.714195,180.0,11.824632418299599,1.0,Mesozoic
10613.431025,2.0,-537.857055,180.0,6.450140785732267,1.0,Mesozoic
12660.48985,2.0,-687.857055,180.0,2.5687249487073247,1.0,Mesozoic
14934.999655,2.0,-805.714195,180.0,3.4052102499503234,1.0,Mesozoic
17067.352595,2.0,-902.14277,180.0,1.750138819838034,1.0,Mesozoic
20791.862399999998,2.0,-1159.28563,180.0,4.812342612568153,1.0,Mesozoic
24459.50946,2.0,-1448.571345,180.0,3.696308052996091,1.0,Mesozoic
26563.431024999998,2.0,-1641.4284850000001,180.0,6.614081287501647,1.0,Mesozoic
24345.783965000002,2.0,-1405.714195,180.0,6.249624467585562,1.0,Mesozoic
