% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.18339069E+03  0.17828939E+03  0.50000000E+00  0.51013077E+01  0.10202615E+02  0.60000000E+08     1
    32    15    20       13        2     0.17884979E+03  0.17377719E+03  0.50000000E+00  0.50726062E+01  0.10145212E+02  0.60000000E+08     1
    32    15    21       13        2     0.17432023E+03  0.16927783E+03  0.50000000E+00  0.50424015E+01  0.10084803E+02  0.60000000E+08     1
    32    15    22       13        2     0.16980242E+03  0.16479184E+03  0.50000000E+00  0.50105806E+01  0.10021161E+02  0.60000000E+08     1
    32    15    23       13        2     0.16529694E+03  0.16031987E+03  0.50000000E+00  0.49770691E+01  0.99541382E+01  0.60000000E+08     1
    32    15    24       13        2     0.16080449E+03  0.15586249E+03  0.50000000E+00  0.49419997E+01  0.98839994E+01  0.60000000E+08     1
    32    15    25       13        2     0.15632570E+03  0.15142000E+03  0.50000000E+00  0.49056999E+01  0.98113998E+01  0.60000000E+08     1
    32    15    26       13        2     0.15186094E+03  0.14699254E+03  0.50000000E+00  0.48684063E+01  0.97368126E+01  0.60000000E+08     1
    32    15    27       13        2     0.14741040E+03  0.14258062E+03  0.50000000E+00  0.48297845E+01  0.96595691E+01  0.60000000E+08     1
    32    15    28       13        2     0.14297474E+03  0.13818614E+03  0.50000000E+00  0.47885984E+01  0.95771968E+01  0.60000000E+08     1
    32    15    29       13        2     0.13855595E+03  0.13381188E+03  0.50000000E+00  0.47440745E+01  0.94881489E+01  0.60000000E+08     1
    32    15    30       13        2     0.13415697E+03  0.12946016E+03  0.50000000E+00  0.46968059E+01  0.93936118E+01  0.60000000E+08     1
    32    15    31       13        2     0.12978020E+03  0.12513145E+03  0.50000000E+00  0.46487506E+01  0.92975012E+01  0.60000000E+08     1
    32    15    32       13        2     0.12542618E+03  0.12082330E+03  0.50000000E+00  0.46028852E+01  0.92057703E+01  0.60000000E+08     1
    32    15    33       13        2     0.12109252E+03  0.11653019E+03  0.50000000E+00  0.45623258E+01  0.91246516E+01  0.60000000E+08     1
    32    15    34       13        2     0.11677374E+03  0.11224620E+03  0.50000000E+00  0.45275349E+01  0.90550697E+01  0.60000000E+08     1
    32    15    35       13        2     0.11246403E+03  0.10797624E+03  0.50000000E+00  0.44877859E+01  0.89755719E+01  0.60000000E+08     1
    32    15    36       13        2     0.10816865E+03  0.10373225E+03  0.50000000E+00  0.44363944E+01  0.88727889E+01  0.60000000E+08     1
    32    15    37       13        2     0.10389977E+03  0.99525381E+02  0.50000000E+00  0.43743898E+01  0.87487795E+01  0.60000000E+08     1
    32    15    38       13        2     0.99668732E+02  0.95364379E+02  0.50000000E+00  0.43043528E+01  0.86087056E+01  0.60000000E+08     1
    32    15    39       13        2     0.95484409E+02  0.91255453E+02  0.50000000E+00  0.42289551E+01  0.84579103E+01  0.60000000E+08     1
    32    15    40       13        2     0.91353105E+02  0.87201653E+02  0.50000000E+00  0.41514521E+01  0.83029041E+01  0.60000000E+08     1
    32    15    41       13        2     0.87277946E+02  0.83200185E+02  0.50000000E+00  0.40777611E+01  0.81555222E+01  0.60000000E+08     1
    32    15    42       13        2     0.83256187E+02  0.79234950E+02  0.50000000E+00  0.40212360E+01  0.80424721E+01  0.60000000E+08     1
    32    15    43       13        2     0.79271741E+02  0.75258570E+02  0.50000000E+00  0.40131710E+01  0.80263420E+01  0.60000000E+08     1
    32    15    44       13        2     0.75277174E+02  0.71302790E+02  0.50000000E+00  0.39743842E+01  0.79487683E+01  0.60000000E+08     1
    32    15    45       13        2     0.71305026E+02  0.67445610E+02  0.50000000E+00  0.38594154E+01  0.77188309E+01  0.60000000E+08     1
    32    15    46       13        2     0.67435347E+02  0.63656999E+02  0.50000000E+00  0.37783484E+01  0.75566967E+01  0.60000000E+08     1
    32    15    47       13        2     0.63639876E+02  0.59926366E+02  0.50000000E+00  0.37135101E+01  0.74270201E+01  0.60000000E+08     1
    32    15    48       13        2     0.59908251E+02  0.56260330E+02  0.50000000E+00  0.36479210E+01  0.72958420E+01  0.60000000E+08     1
    32    15    49       13        2     0.56245586E+02  0.52688486E+02  0.50000000E+00  0.35571005E+01  0.71142010E+01  0.60000000E+08     1
    32    15    50       13        2     0.52678705E+02  0.49749458E+02  0.50000000E+00  0.29292466E+01  0.58584931E+01  0.60000000E+08     1
    32    15    51        9        2     0.49743357E+02  0.46612920E+02  0.50000000E+00  0.31304369E+01  0.62608739E+01  0.60000000E+08     1
    32    15    52        8        2     0.46609668E+02  0.42768667E+02  0.50000000E+00  0.38410017E+01  0.76820035E+01  0.60000000E+08     1
    32    15    53        8        2     0.42767957E+02  0.38131981E+02  0.50000000E+00  0.46359760E+01  0.92719520E+01  0.60000000E+08     1
    32    15    54        7        2     0.38133084E+02  0.32685264E+02  0.50000000E+00  0.54478204E+01  0.10895641E+02  0.60000000E+08     1
    32    15    55        7        2     0.32686570E+02  0.27301341E+02  0.50000000E+00  0.53852291E+01  0.10770458E+02  0.60000000E+08     1
    32    15    56        7        2     0.27302351E+02  0.22073753E+02  0.50000000E+00  0.52285981E+01  0.10457196E+02  0.60000000E+08     1
    32    15    57        7        2     0.22074157E+02  0.17232406E+02  0.50000000E+00  0.48417509E+01  0.96835018E+01  0.60000000E+08     1
    79    23    33       13        2     0.11947801E+03  0.11379920E+03  0.50000000E+00  0.56788146E+01  0.11357629E+02  0.60000000E+08     1
    79    23    34       13        2     0.11543611E+03  0.10981343E+03  0.50000000E+00  0.56226868E+01  0.11245374E+02  0.60000000E+08     1
