% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.18338745E+03  0.17828939E+03  0.50000000E+00  0.50980606E+01  0.10196121E+02  0.60000000E+08     1
    32    15    20       13        2     0.17884669E+03  0.17377719E+03  0.50000000E+00  0.50695000E+01  0.10139000E+02  0.60000000E+08     1
    32    15    21       13        2     0.17431726E+03  0.16927783E+03  0.50000000E+00  0.50394282E+01  0.10078856E+02  0.60000000E+08     1
    32    15    22       13        2     0.16979957E+03  0.16479184E+03  0.50000000E+00  0.50077327E+01  0.10015465E+02  0.60000000E+08     1
    32    15    23       13        2     0.16529421E+03  0.16031987E+03  0.50000000E+00  0.49743399E+01  0.99486798E+01  0.60000000E+08     1
    32    15    24       13        2     0.16080187E+03  0.15586249E+03  0.50000000E+00  0.49393832E+01  0.98787664E+01  0.60000000E+08     1
    32    15    25       13        2     0.15632319E+03  0.15142000E+03  0.50000000E+00  0.49031907E+01  0.98063814E+01  0.60000000E+08     1
    32    15    26       13        2     0.15185853E+03  0.14699254E+03  0.50000000E+00  0.48659996E+01  0.97319991E+01  0.60000000E+08     1
    32    15    27       13        2     0.14740810E+03  0.14258062E+03  0.50000000E+00  0.48274761E+01  0.96549521E+01  0.60000000E+08     1
    32    15    28       13        2     0.14297252E+03  0.13818614E+03  0.50000000E+00  0.47863845E+01  0.95727690E+01  0.60000000E+08     1
    32    15    29       13        2     0.13855383E+03  0.13381188E+03  0.50000000E+00  0.47419517E+01  0.94839034E+01  0.60000000E+08     1
    32    15    30       13        2     0.13415493E+03  0.12946016E+03  0.50000000E+00  0.46947714E+01  0.93895427E+01  0.60000000E+08     1
    32    15    31       13        2     0.12977825E+03  0.12513145E+03  0.50000000E+00  0.46468016E+01  0.92936032E+01  0.60000000E+08     1
    32    15    32       13        2     0.12542432E+03  0.12082330E+03  0.50000000E+00  0.46010193E+01  0.92020386E+01  0.60000000E+08     1
    32    15    33       13        2     0.12109073E+03  0.11653019E+03  0.50000000E+00  0.45605410E+01  0.91210820E+01  0.60000000E+08     1
    32    15    34       13        2     0.11677203E+03  0.11224620E+03  0.50000000E+00  0.45258294E+01  0.90516589E+01  0.60000000E+08     1
    32    15    35       13        2     0.11246240E+03  0.10797624E+03  0.50000000E+00  0.44861584E+01  0.89723168E+01  0.60000000E+08     1
