temperature,error,i,j,k,var_flag,flag,Name
113.799199145046,0.5,79,23,33,2,1,!borehole2
109.813427710173,0.5,79,23,34,2,1,!borehole2
105.848602270997,0.5,79,23,35,2,1,!borehole2
101.903104917838,0.5,79,23,36,2,1,!borehole2
97.9743744074998,0.5,79,23,37,2,1,!borehole2
94.0582199856251,0.5,79,23,38,2,1,!borehole2
90.1475537062445,0.5,79,23,39,2,1,!borehole2
86.2300056770858,0.5,79,23,40,2,1,!borehole2
82.2833769565908,0.5,79,23,41,2,1,!borehole2
78.2668717887189,0.5,79,23,42,2,1,!borehole2
73.3900788101087,0.5,79,23,43,2,1,!borehole2
69.2241046308796,0.5,79,23,44,2,1,!borehole2
65.8586663843738,0.5,79,23,45,2,1,!borehole2
61.7212435086056,0.5,79,23,46,2,1,!borehole2
56.7091291771286,0.5,79,23,47,2,1,!borehole2
50.9204275277816,0.5,79,23,48,2,1,!borehole2
45.2031216505687,0.5,79,23,49,2,1,!borehole2
39.5239627533094,0.5,79,23,50,2,1,!borehole2
33.855890035816,0.5,79,23,51,2,1,!borehole2
28.4318127311907,0.5,79,23,52,2,1,!borehole2
23.25728078484,0.5,79,23,53,2,1,!borehole2
18.0786288346829,0.5,79,23,54,2,1,!borehole2
