% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.18343596E+03  0.17828939E+03  0.50000000E+00  0.51465732E+01  0.10293146E+02  0.60000000E+08     1
    32    15    20       13        2     0.17900977E+03  0.17377719E+03  0.50000000E+00  0.52325802E+01  0.10465160E+02  0.60000000E+08     1
    32    15    21       13        2     0.17459797E+03  0.16927783E+03  0.50000000E+00  0.53201403E+01  0.10640281E+02  0.60000000E+08     1
    32    15    22       13        2     0.17020060E+03  0.16479184E+03  0.50000000E+00  0.54087631E+01  0.10817526E+02  0.60000000E+08     1
    32    15    23       13        2     0.16581781E+03  0.16031987E+03  0.50000000E+00  0.54979379E+01  0.10995876E+02  0.60000000E+08     1
    32    15    24       13        2     0.16144980E+03  0.15586249E+03  0.50000000E+00  0.55873073E+01  0.11174615E+02  0.60000000E+08     1
    32    15    25       13        2     0.15709673E+03  0.15142000E+03  0.50000000E+00  0.56767288E+01  0.11353458E+02  0.60000000E+08     1
    32    15    26       13        2     0.15275859E+03  0.14699254E+03  0.50000000E+00  0.57660507E+01  0.11532101E+02  0.60000000E+08     1
    32    15    27       13        2     0.14843520E+03  0.14258062E+03  0.50000000E+00  0.58545761E+01  0.11709152E+02  0.60000000E+08     1
    32    15    28       13        2     0.14412663E+03  0.13818614E+03  0.50000000E+00  0.59404911E+01  0.11880982E+02  0.60000000E+08     1
    32    15    29       13        2     0.13983375E+03  0.13381188E+03  0.50000000E+00  0.60218717E+01  0.12043743E+02  0.60000000E+08     1
    32    15    30       13        2     0.13555796E+03  0.12946016E+03  0.50000000E+00  0.60977955E+01  0.12195591E+02  0.60000000E+08     1
    32    15    31       13        2     0.13130031E+03  0.12513145E+03  0.50000000E+00  0.61688560E+01  0.12337712E+02  0.60000000E+08     1
    32    15    32       13        2     0.12706062E+03  0.12082330E+03  0.50000000E+00  0.62373240E+01  0.12474648E+02  0.60000000E+08     1
    32    15    33       13        2     0.12283684E+03  0.11653019E+03  0.50000000E+00  0.63066492E+01  0.12613298E+02  0.60000000E+08     1
    32    15    34       13        2     0.11862492E+03  0.11224620E+03  0.50000000E+00  0.63787204E+01  0.12757441E+02  0.60000000E+08     1
    32    15    35       13        2     0.11442058E+03  0.10797624E+03  0.50000000E+00  0.64443373E+01  0.12888675E+02  0.60000000E+08     1
    32    15    36       13        2     0.11022651E+03  0.10373225E+03  0.50000000E+00  0.64942545E+01  0.12988509E+02  0.60000000E+08     1
    32    15    37       13        2     0.10604964E+03  0.99525381E+02  0.50000000E+00  0.65242551E+01  0.13048510E+02  0.60000000E+08     1
    32    15    38       13        2     0.10189612E+03  0.95364379E+02  0.50000000E+00  0.65317443E+01  0.13063489E+02  0.60000000E+08     1
    32    15    39       13        2     0.97770195E+02  0.91255453E+02  0.50000000E+00  0.65147420E+01  0.13029484E+02  0.60000000E+08     1
    32    15    40       13        2     0.93673793E+02  0.87201653E+02  0.50000000E+00  0.64721395E+01  0.12944279E+02  0.60000000E+08     1
    32    15    41       13        2     0.89605593E+02  0.83200185E+02  0.50000000E+00  0.64054081E+01  0.12810816E+02  0.60000000E+08     1
    32    15    42       13        2     0.85558073E+02  0.79234950E+02  0.50000000E+00  0.63231224E+01  0.12646245E+02  0.60000000E+08     1
    32    15    43       13        2     0.81510104E+02  0.75258570E+02  0.50000000E+00  0.62515343E+01  0.12503069E+02  0.60000000E+08     1
    32    15    44       13        2     0.77409441E+02  0.71302790E+02  0.50000000E+00  0.61066512E+01  0.12213302E+02  0.60000000E+08     1
    32    15    45       13        2     0.73253415E+02  0.67445610E+02  0.50000000E+00  0.58078044E+01  0.11615609E+02  0.60000000E+08     1
    32    15    46       13        2     0.69089204E+02  0.63656999E+02  0.50000000E+00  0.54322051E+01  0.10864410E+02  0.60000000E+08     1
