% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.17859019E+03  0.17828939E+03  0.50000000E+00  0.30080876E+00  0.60161752E+00  0.60000000E+08     1
    32    15    20       13        2     0.17419692E+03  0.17377719E+03  0.50000000E+00  0.41972696E+00  0.83945393E+00  0.60000000E+08     1
    32    15    21       13        2     0.16981936E+03  0.16927783E+03  0.50000000E+00  0.54153160E+00  0.10830632E+01  0.60000000E+08     1
    32    15    22       13        2     0.16545776E+03  0.16479184E+03  0.50000000E+00  0.66591624E+00  0.13318325E+01  0.60000000E+08     1
    32    15    23       13        2     0.16111244E+03  0.16031987E+03  0.50000000E+00  0.79257455E+00  0.15851491E+01  0.60000000E+08     1
    32    15    24       13        2     0.15678387E+03  0.15586249E+03  0.50000000E+00  0.92137912E+00  0.18427582E+01  0.60000000E+08     1
    32    15    25       13        2     0.15247246E+03  0.15142000E+03  0.50000000E+00  0.10524535E+01  0.21049069E+01  0.60000000E+08     1
    32    15    26       13        2     0.14817848E+03  0.14699254E+03  0.50000000E+00  0.11859475E+01  0.23718949E+01  0.60000000E+08     1
    32    15    27       13        2     0.14390211E+03  0.14258062E+03  0.50000000E+00  0.13214897E+01  0.26429794E+01  0.60000000E+08     1
    32    15    28       13        2     0.13964373E+03  0.13818614E+03  0.50000000E+00  0.14575926E+01  0.29151851E+01  0.60000000E+08     1
    32    15    29       13        2     0.13540453E+03  0.13381188E+03  0.50000000E+00  0.15926481E+01  0.31852963E+01  0.60000000E+08     1
    32    15    30       13        2     0.13118629E+03  0.12946016E+03  0.50000000E+00  0.17261291E+01  0.34522583E+01  0.60000000E+08     1
    32    15    31       13        2     0.12699060E+03  0.12513145E+03  0.50000000E+00  0.18591456E+01  0.37182912E+01  0.60000000E+08     1
    32    15    32       13        2     0.12281792E+03  0.12082330E+03  0.50000000E+00  0.19946220E+01  0.39892440E+01  0.60000000E+08     1
    32    15    33       13        2     0.11866698E+03  0.11653019E+03  0.50000000E+00  0.21367880E+01  0.42735759E+01  0.60000000E+08     1
    32    15    34       13        2     0.11453457E+03  0.11224620E+03  0.50000000E+00  0.22883706E+01  0.45767412E+01  0.60000000E+08     1
    32    15    35       13        2     0.11041708E+03  0.10797624E+03  0.50000000E+00  0.24408389E+01  0.48816778E+01  0.60000000E+08     1
    32    15    36       13        2     0.10631705E+03  0.10373225E+03  0.50000000E+00  0.25847975E+01  0.51695950E+01  0.60000000E+08     1
    32    15    37       13        2     0.10224184E+03  0.99525381E+02  0.50000000E+00  0.27164634E+01  0.54329268E+01  0.60000000E+08     1
    32    15    38       13        2     0.98198485E+02  0.95364379E+02  0.50000000E+00  0.28341056E+01  0.56682112E+01  0.60000000E+08     1
    32    15    39       13        2     0.94192526E+02  0.91255453E+02  0.50000000E+00  0.29370728E+01  0.58741457E+01  0.60000000E+08     1
    32    15    40       13        2     0.90227957E+02  0.87201653E+02  0.50000000E+00  0.30263041E+01  0.60526081E+01  0.60000000E+08     1
    32    15    41       13        2     0.86306832E+02  0.83200185E+02  0.50000000E+00  0.31066472E+01  0.62132944E+01  0.60000000E+08     1
    32    15    42       13        2     0.82427640E+02  0.79234950E+02  0.50000000E+00  0.31926900E+01  0.63853800E+01  0.60000000E+08     1
    32    15    43       13        2     0.78580744E+02  0.75258570E+02  0.50000000E+00  0.33221738E+01  0.66443476E+01  0.60000000E+08     1
    32    15    44       13        2     0.74737331E+02  0.71302790E+02  0.50000000E+00  0.34345405E+01  0.68690809E+01  0.60000000E+08     1
    32    15    45       13        2     0.70915516E+02  0.67445610E+02  0.50000000E+00  0.34699063E+01  0.69398127E+01  0.60000000E+08     1
    32    15    46       13        2     0.67159721E+02  0.63656999E+02  0.50000000E+00  0.35027216E+01  0.70054433E+01  0.60000000E+08     1
    32    15    47       13        2     0.63456953E+02  0.59926366E+02  0.50000000E+00  0.35305864E+01  0.70611727E+01  0.60000000E+08     1
    32    15    48       13        2     0.59804317E+02  0.56260330E+02  0.50000000E+00  0.35439867E+01  0.70879734E+01  0.60000000E+08     1
    32    15    49       13        2     0.56209667E+02  0.52688486E+02  0.50000000E+00  0.35211809E+01  0.70423618E+01  0.60000000E+08     1
    32    15    50       13        2     0.52698404E+02  0.49749458E+02  0.50000000E+00  0.29489461E+01  0.58978921E+01  0.60000000E+08     1
    32    15    51        9        2     0.49785904E+02  0.46612920E+02  0.50000000E+00  0.31729837E+01  0.63459674E+01  0.60000000E+08     1
    32    15    52        8        2     0.46655419E+02  0.42768667E+02  0.50000000E+00  0.38867522E+01  0.77735045E+01  0.60000000E+08     1
    32    15    53        8        2     0.42811544E+02  0.38131981E+02  0.50000000E+00  0.46795638E+01  0.93591276E+01  0.60000000E+08     1
    32    15    54        7        2     0.38169667E+02  0.32685264E+02  0.50000000E+00  0.54844030E+01  0.10968806E+02  0.60000000E+08     1
    32    15    55        7        2     0.32713524E+02  0.27301341E+02  0.50000000E+00  0.54121833E+01  0.10824367E+02  0.60000000E+08     1
    32    15    56        7        2     0.27319477E+02  0.22073753E+02  0.50000000E+00  0.52457239E+01  0.10491448E+02  0.60000000E+08     1
    32    15    57        7        2     0.22082450E+02  0.17232406E+02  0.50000000E+00  0.48500441E+01  0.97000882E+01  0.60000000E+08     1
    79    23    33       13        2     0.11790582E+03  0.11379920E+03  0.50000000E+00  0.41066217E+01  0.82132435E+01  0.60000000E+08     1
    79    23    34       13        2     0.11392258E+03  0.10981343E+03  0.50000000E+00  0.41091477E+01  0.82182955E+01  0.60000000E+08     1
    79    23    35       13        2     0.10996157E+03  0.10584860E+03  0.50000000E+00  0.41129672E+01  0.82259343E+01  0.60000000E+08     1
    79    23    36       13        2     0.10602172E+03  0.10190310E+03  0.50000000E+00  0.41186116E+01  0.82372232E+01  0.60000000E+08     1
    79    23    37       13        2     0.10210136E+03  0.97974374E+02  0.50000000E+00  0.41269835E+01  0.82539670E+01  0.60000000E+08     1
    79    23    38       13        2     0.98197884E+02  0.94058220E+02  0.50000000E+00  0.41396641E+01  0.82793282E+01  0.60000000E+08     1
    79    23    39       13        2     0.94307046E+02  0.90147554E+02  0.50000000E+00  0.41594919E+01  0.83189839E+01  0.60000000E+08     1
    79    23    40       13        2     0.90421666E+02  0.86230006E+02  0.50000000E+00  0.41916601E+01  0.83833203E+01  0.60000000E+08     1
    79    23    41       13        2     0.86529190E+02  0.82283377E+02  0.50000000E+00  0.42458129E+01  0.84916259E+01  0.60000000E+08     1
    79    23    42       13        2     0.82606946E+02  0.78266872E+02  0.50000000E+00  0.43400739E+01  0.86801479E+01  0.60000000E+08     1
    79    23    43       13        2     0.78612861E+02  0.73390079E+02  0.50000000E+00  0.52227824E+01  0.10445565E+02  0.60000000E+08     1
    79    23    44        6        2     0.73761706E+02  0.69224105E+02  0.50000000E+00  0.45376012E+01  0.90752024E+01  0.60000000E+08     1
    79    23    45        9        2     0.69613982E+02  0.65858666E+02  0.50000000E+00  0.37553152E+01  0.75106303E+01  0.60000000E+08     1
    79    23    46        8        2     0.66260247E+02  0.61721244E+02  0.50000000E+00  0.45390039E+01  0.90780079E+01  0.60000000E+08     1
    79    23    47        8        2     0.62140289E+02  0.56709129E+02  0.50000000E+00  0.54311597E+01  0.10862319E+02  0.60000000E+08     1
    79    23    48        7        2     0.57151595E+02  0.50920428E+02  0.50000000E+00  0.62311675E+01  0.12462335E+02  0.60000000E+08     1
    79    23    49        7        2     0.51382789E+02  0.45203122E+02  0.50000000E+00  0.61796675E+01  0.12359335E+02  0.60000000E+08     1
    79    23    50        7        2     0.45669060E+02  0.39523963E+02  0.50000000E+00  0.61450968E+01  0.12290194E+02  0.60000000E+08     1
    79    23    51        7        2     0.39971019E+02  0.33855890E+02  0.50000000E+00  0.61151288E+01  0.12230258E+02  0.60000000E+08     1
    79    23    52        7        2     0.34256800E+02  0.28431813E+02  0.50000000E+00  0.58249875E+01  0.11649975E+02  0.60000000E+08     1
    79    23    53        6        2     0.28758784E+02  0.23257281E+02  0.50000000E+00  0.55015035E+01  0.11003007E+02  0.60000000E+08     1
    79    23    54        6        2     0.23478859E+02  0.18078629E+02  0.50000000E+00  0.54002299E+01  0.10800460E+02  0.60000000E+08     1
    53    34    21       12        2     0.16926491E+03  0.16516882E+03  0.50000000E+00  0.40960957E+01  0.81921913E+01  0.60000000E+08     1
    53    34    22       12        2     0.16512575E+03  0.16053226E+03  0.50000000E+00  0.45934928E+01  0.91869856E+01  0.60000000E+08     1
    53    34    23       12        2     0.16099743E+03  0.15595140E+03  0.50000000E+00  0.50460322E+01  0.10092064E+02  0.60000000E+08     1
    53    34    24       12        2     0.15686978E+03  0.15141180E+03  0.50000000E+00  0.54579867E+01  0.10915973E+02  0.60000000E+08     1
    53    34    25       12        2     0.15285762E+03  0.14687849E+03  0.50000000E+00  0.59791287E+01  0.11958257E+02  0.60000000E+08     1
    53    34    26       11        2     0.14840033E+03  0.14241733E+03  0.50000000E+00  0.59829956E+01  0.11965991E+02  0.60000000E+08     1
    53    34    27       11        2     0.14354426E+03  0.13814941E+03  0.50000000E+00  0.53948541E+01  0.10789708E+02  0.60000000E+08     1
    53    34    28       11        2     0.13885472E+03  0.13339837E+03  0.50000000E+00  0.54563424E+01  0.10912685E+02  0.60000000E+08     1
    53    34    29       11        2     0.13422160E+03  0.12818557E+03  0.50000000E+00  0.60360315E+01  0.12072063E+02  0.60000000E+08     1
    53    34    30       11        2     0.12953978E+03  0.12307256E+03  0.50000000E+00  0.64672229E+01  0.12934446E+02  0.60000000E+08     1
    53    34    31       11        2     0.12480766E+03  0.11791345E+03  0.50000000E+00  0.68942129E+01  0.13788426E+02  0.60000000E+08     1
    53    34    32       11        2     0.12005962E+03  0.11270237E+03  0.50000000E+00  0.73572478E+01  0.14714496E+02  0.60000000E+08     1
    53    34    33       11        2     0.11530552E+03  0.10747341E+03  0.50000000E+00  0.78321073E+01  0.15664215E+02  0.60000000E+08     1
    53    34    34       11        2     0.11055250E+03  0.10223750E+03  0.50000000E+00  0.83149990E+01  0.16629998E+02  0.60000000E+08     1
    53    34    35       11        2     0.10580586E+03  0.97002632E+02  0.50000000E+00  0.88032315E+01  0.17606463E+02  0.60000000E+08     1
    53    34    36       11        2     0.10106950E+03  0.92404430E+02  0.50000000E+00  0.86650686E+01  0.17330137E+02  0.60000000E+08     1
    53    34    37       10        2     0.96686294E+02  0.88471542E+02  0.50000000E+00  0.82147518E+01  0.16429504E+02  0.60000000E+08     1
    53    34    38       10        2     0.92654006E+02  0.84574203E+02  0.50000000E+00  0.80798024E+01  0.16159605E+02  0.60000000E+08     1
    53    34    39       10        2     0.88631790E+02  0.80711862E+02  0.50000000E+00  0.79199283E+01  0.15839857E+02  0.60000000E+08     1
    53    34    40       10        2     0.84625035E+02  0.76882820E+02  0.50000000E+00  0.77422150E+01  0.15484430E+02  0.60000000E+08     1
    53    34    41       10        2     0.80638936E+02  0.73085659E+02  0.50000000E+00  0.75532768E+01  0.15106554E+02  0.60000000E+08     1
    53    34    42       10        2     0.76678521E+02  0.69320793E+02  0.50000000E+00  0.73577283E+01  0.14715457E+02  0.60000000E+08     1
