temperature,error,i,j,k,var_flag,flag,Name
178.289385474028,0.5,32,15,19,2,1,!borehole1
173.777188401397,0.5,32,15,20,2,1,!borehole1
169.277829013701,0.5,32,15,21,2,1,!borehole1
164.79183898481,0.5,32,15,22,2,1,!borehole1
160.319868935255,0.5,32,15,23,2,1,!borehole1
155.862490331664,0.5,32,15,24,2,1,!borehole1
151.420003812109,0.5,32,15,25,2,1,!borehole1
146.992535045352,0.5,32,15,26,2,1,!borehole1
142.580620396946,0.5,32,15,27,2,1,!borehole1
138.186137836017,0.5,32,15,28,2,1,!borehole1
133.811878118642,0.5,32,15,29,2,1,!borehole1
129.46016204679,0.5,32,15,30,2,1,!borehole1
125.131449871048,0.5,32,15,31,2,1,!borehole1
120.823296348444,0.5,32,15,32,2,1,!borehole1
116.530189813912,0.5,32,15,33,2,1,!borehole1
112.246203645012,0.5,32,15,34,2,1,!borehole1
107.976244754281,0.5,32,15,35,2,1,!borehole1
103.732252389145,0.5,32,15,36,2,1,!borehole1
99.5253808920435,0.5,32,15,37,2,1,!borehole1
95.3643790641434,0.5,32,15,38,2,1,!borehole1
91.2554534760581,0.5,32,15,39,2,1,!borehole1
87.2016533678101,0.5,32,15,40,2,1,!borehole1
83.200184874142,0.5,32,15,41,2,1,!borehole1
79.2349504763252,0.5,32,15,42,2,1,!borehole1
75.258570136385,0.5,32,15,43,2,1,!borehole1
71.3027902320181,0.5,32,15,44,2,1,!borehole1
67.4456101189353,0.5,32,15,45,2,1,!borehole1
63.6569990078006,0.5,32,15,46,2,1,!borehole1
59.9263662031321,0.5,32,15,47,2,1,!borehole1
56.2603298837045,0.5,32,15,48,2,1,!borehole1
52.6884856872695,0.5,32,15,49,2,1,!borehole1
49.749458427535,0.5,32,15,50,2,1,!borehole1
46.6129201382156,0.5,32,15,51,2,1,!borehole1
42.7686665341945,0.5,32,15,52,2,1,!borehole1
38.1319806784538,0.5,32,15,53,2,1,!borehole1
32.6852637344128,0.5,32,15,54,2,1,!borehole1
27.3013406398674,0.5,32,15,55,2,1,!borehole1
22.0737528010712,0.5,32,15,56,2,1,!borehole1
17.2324056455746,0.5,32,15,57,2,1,!borehole1
