% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.18338989E+03  0.17828939E+03  0.50000000E+00  0.51005021E+01  0.10201004E+02  0.60000000E+08     1
    32    15    20       13        2     0.17884908E+03  0.17377719E+03  0.50000000E+00  0.50718919E+01  0.10143784E+02  0.60000000E+08     1
    32    15    21       13        2     0.17431960E+03  0.16927783E+03  0.50000000E+00  0.50417708E+01  0.10083542E+02  0.60000000E+08     1
    32    15    22       13        2     0.16980186E+03  0.16479184E+03  0.50000000E+00  0.50100252E+01  0.10020050E+02  0.60000000E+08     1
    32    15    23       13        2     0.16529645E+03  0.16031987E+03  0.50000000E+00  0.49765801E+01  0.99531601E+01  0.60000000E+08     1
    32    15    24       13        2     0.16080406E+03  0.15586249E+03  0.50000000E+00  0.49415672E+01  0.98831345E+01  0.60000000E+08     1
    32    15    25       13        2     0.15632532E+03  0.15142000E+03  0.50000000E+00  0.49053140E+01  0.98106281E+01  0.60000000E+08     1
    32    15    26       13        2     0.15186059E+03  0.14699254E+03  0.50000000E+00  0.48680573E+01  0.97361147E+01  0.60000000E+08     1
    32    15    27       13        2     0.14741008E+03  0.14258062E+03  0.50000000E+00  0.48294637E+01  0.96589274E+01  0.60000000E+08     1
    32    15    28       13        2     0.14297444E+03  0.13818614E+03  0.50000000E+00  0.47882981E+01  0.95765962E+01  0.60000000E+08     1
    32    15    29       13        2     0.13855567E+03  0.13381188E+03  0.50000000E+00  0.47437885E+01  0.94875770E+01  0.60000000E+08     1
    32    15    30       13        2     0.13415669E+03  0.12946016E+03  0.50000000E+00  0.46965294E+01  0.93930588E+01  0.60000000E+08     1
    32    15    31       13        2     0.12977993E+03  0.12513145E+03  0.50000000E+00  0.46484800E+01  0.92969600E+01  0.60000000E+08     1
    32    15    32       13        2     0.12542591E+03  0.12082330E+03  0.50000000E+00  0.46026179E+01  0.92052358E+01  0.60000000E+08     1
    32    15    33       13        2     0.12109225E+03  0.11653019E+03  0.50000000E+00  0.45620602E+01  0.91241203E+01  0.60000000E+08     1
    32    15    34       13        2     0.11677347E+03  0.11224620E+03  0.50000000E+00  0.45272699E+01  0.90545398E+01  0.60000000E+08     1
    32    15    35       13        2     0.11246377E+03  0.10797624E+03  0.50000000E+00  0.44875212E+01  0.89750423E+01  0.60000000E+08     1
    32    15    36       13        2     0.10816838E+03  0.10373225E+03  0.50000000E+00  0.44361299E+01  0.88722598E+01  0.60000000E+08     1
    32    15    37       13        2     0.10389951E+03  0.99525381E+02  0.50000000E+00  0.43741258E+01  0.87482516E+01  0.60000000E+08     1
    32    15    38       13        2     0.99668469E+02  0.95364379E+02  0.50000000E+00  0.43040900E+01  0.86081801E+01  0.60000000E+08     1
    32    15    39       13        2     0.95484148E+02  0.91255453E+02  0.50000000E+00  0.42286944E+01  0.84573889E+01  0.60000000E+08     1
    32    15    40       13        2     0.91352848E+02  0.87201653E+02  0.50000000E+00  0.41511943E+01  0.83023886E+01  0.60000000E+08     1
    32    15    41       13        2     0.87277692E+02  0.83200185E+02  0.50000000E+00  0.40775073E+01  0.81550146E+01  0.60000000E+08     1
    32    15    42       13        2     0.83255938E+02  0.79234950E+02  0.50000000E+00  0.40209873E+01  0.80419746E+01  0.60000000E+08     1
    32    15    43       13        2     0.79271499E+02  0.75258570E+02  0.50000000E+00  0.40129284E+01  0.80258568E+01  0.60000000E+08     1
    32    15    44       13        2     0.75276939E+02  0.71302790E+02  0.50000000E+00  0.39741490E+01  0.79482981E+01  0.60000000E+08     1
    32    15    45       13        2     0.71304799E+02  0.67445610E+02  0.50000000E+00  0.38591885E+01  0.77183769E+01  0.60000000E+08     1
    32    15    46       13        2     0.67435130E+02  0.63656999E+02  0.50000000E+00  0.37781305E+01  0.75562610E+01  0.60000000E+08     1
    32    15    47       13        2     0.63639669E+02  0.59926366E+02  0.50000000E+00  0.37133023E+01  0.74266046E+01  0.60000000E+08     1
    32    15    48       13        2     0.59908054E+02  0.56260330E+02  0.50000000E+00  0.36477242E+01  0.72954483E+01  0.60000000E+08     1
    32    15    49       13        2     0.56245401E+02  0.52688486E+02  0.50000000E+00  0.35569153E+01  0.71138306E+01  0.60000000E+08     1
    32    15    50       13        2     0.52678532E+02  0.49749458E+02  0.50000000E+00  0.29290734E+01  0.58581469E+01  0.60000000E+08     1
    32    15    51        9        2     0.49743195E+02  0.46612920E+02  0.50000000E+00  0.31302752E+01  0.62605504E+01  0.60000000E+08     1
    32    15    52        8        2     0.46609520E+02  0.42768667E+02  0.50000000E+00  0.38408538E+01  0.76817076E+01  0.60000000E+08     1
    32    15    53        8        2     0.42767826E+02  0.38131981E+02  0.50000000E+00  0.46358456E+01  0.92716912E+01  0.60000000E+08     1
    32    15    54        7        2     0.38132975E+02  0.32685264E+02  0.50000000E+00  0.54477116E+01  0.10895423E+02  0.60000000E+08     1
    32    15    55        7        2     0.32686487E+02  0.27301341E+02  0.50000000E+00  0.53851459E+01  0.10770292E+02  0.60000000E+08     1
    32    15    56        7        2     0.27302293E+02  0.22073753E+02  0.50000000E+00  0.52285404E+01  0.10457081E+02  0.60000000E+08     1
    32    15    57        7        2     0.22074124E+02  0.17232406E+02  0.50000000E+00  0.48417179E+01  0.96834358E+01  0.60000000E+08     1
    79    23    33       13        2     0.11947263E+03  0.11379920E+03  0.50000000E+00  0.56734269E+01  0.11346854E+02  0.60000000E+08     1
    79    23    34       13        2     0.11543091E+03  0.10981343E+03  0.50000000E+00  0.56174840E+01  0.11234968E+02  0.60000000E+08     1
    79    23    35       13        2     0.11141036E+03  0.10584860E+03  0.50000000E+00  0.55617579E+01  0.11123516E+02  0.60000000E+08     1
    79    23    36       13        2     0.10740998E+03  0.10190310E+03  0.50000000E+00  0.55068762E+01  0.11013752E+02  0.60000000E+08     1
    79    23    37       13        2     0.10342823E+03  0.97974374E+02  0.50000000E+00  0.54538568E+01  0.10907714E+02  0.60000000E+08     1
    79    23    38       13        2     0.99462632E+02  0.94058220E+02  0.50000000E+00  0.54044120E+01  0.10808824E+02  0.60000000E+08     1
    79    23    39       13        2     0.95509070E+02  0.90147554E+02  0.50000000E+00  0.53615168E+01  0.10723034E+02  0.60000000E+08     1
    79    23    40       13        2     0.91560494E+02  0.86230006E+02  0.50000000E+00  0.53304882E+01  0.10660976E+02  0.60000000E+08     1
    79    23    41       13        2     0.87604426E+02  0.82283377E+02  0.50000000E+00  0.53210487E+01  0.10642097E+02  0.60000000E+08     1
    79    23    42       13        2     0.83618168E+02  0.78266872E+02  0.50000000E+00  0.53512962E+01  0.10702592E+02  0.60000000E+08     1
    79    23    43       13        2     0.79559412E+02  0.73390079E+02  0.50000000E+00  0.61693337E+01  0.12338667E+02  0.60000000E+08     1
    79    23    44        6        2     0.74630188E+02  0.69224105E+02  0.50000000E+00  0.54060830E+01  0.10812166E+02  0.60000000E+08     1
    79    23    45        9        2     0.70416093E+02  0.65858666E+02  0.50000000E+00  0.45574269E+01  0.91148537E+01  0.60000000E+08     1
    79    23    46        8        2     0.67008984E+02  0.61721244E+02  0.50000000E+00  0.52877400E+01  0.10575480E+02  0.60000000E+08     1
    79    23    47        8        2     0.62824280E+02  0.56709129E+02  0.50000000E+00  0.61151512E+01  0.12230302E+02  0.60000000E+08     1
    79    23    48        7        2     0.57758763E+02  0.50920428E+02  0.50000000E+00  0.68383351E+01  0.13676670E+02  0.60000000E+08     1
